"validation/sparse_categorical_accuracy","train_steps_per_hour","loss","round_num","train_step_time_in_seconds","validation/validation_time_in_seconds","sparse_categorical_accuracy","validation/loss"
0.7544106245040894,167.6064586680788,0.6365694999694824,44,21.478885889053345,51.81458139419556,0.8121006488800049,0.8552061319351196
0.7575468420982361,136.19735596360948,0.6572312712669373,45,26.432231187820435,49.0018048286438,0.80640709400177,0.8508061766624451
0.7580243349075317,222.80348761993022,0.7799909114837646,46,16.15773630142212,56.29897427558899,0.7790992856025696,0.8495559096336365
0.7536491751670837,183.8764340163017,0.7081102728843689,47,19.578365325927734,59.33579897880554,0.7969321608543396,0.852708637714386
0.7517132759094238,179.74695614228594,0.5699126720428467,48,20.02815556526184,57.715678215026855,0.8310545682907104,0.8388546109199524
0.7557141780853271,181.12308686681823,0.5268120169639587,49,19.875986337661743,57.59951210021973,0.8409836292266846,0.8112243413925171
0.7600764036178589,176.29796895604056,0.6785032749176025,50,20.419974327087402,52.56082582473755,0.802569568157196,0.7834221720695496
0.7598311901092529,145.14857843499195,0.6257523894309998,51,24.8021719455719,50.989601850509644,0.8179775476455688,0.7781407833099365
0.7533523440361023,150.83178473350023,0.5370060801506042,52,23.867648363113403,54.14143204689026,0.8308796882629395,0.8049322962760925
0.7484222054481506,170.823486943371,0.5788407325744629,53,21.074385404586792,57.171318769454956,0.830139696598053,0.8398476839065552
0.747841477394104,176.23965903977427,0.5454414486885071,54,20.426730394363403,62.675090074539185,0.8354048728942871,0.8689796328544617
0.7455183863639832,155.3428937294647,0.5581989288330078,55,23.17453932762146,56.184998989105225,0.8354246616363525,0.906074047088623
0.7517262101173401,172.1133599798053,0.6734811663627625,56,20.916447162628174,50.302294969558716,0.8073115944862366,0.8794347643852234
0.7584502696990967,119.71161789968701,0.4662036597728729,57,30.072269201278687,48.79928493499756,0.8588792681694031,0.8391211032867432
0.7668392062187195,172.16211213271018,0.632760226726532,58,20.910524129867554,55.088813066482544,0.8198378682136536,0.7860231399536133
0.7733696699142456,186.76850500609538,0.5832865834236145,59,19.275198459625244,56.18347120285034,0.8255386352539062,0.7402262091636658
0.7732405662536621,181.15825549316318,0.5406783223152161,60,19.872127771377563,56.78764891624451,0.8474511504173279,0.7361440658569336
0.7686847448348999,178.49590648487293,0.5439727902412415,61,20.168529748916626,58.10759902000427,0.8371891975402832,0.7497405409812927
0.7649807333946228,176.1132617411674,0.5850474834442139,62,20.44139075279236,54.70222616195679,0.8269413709640503,0.7640414834022522
0.7704916000366211,129.56241232524738,0.6699219346046448,63,27.785836458206177,49.77911353111267,0.8033568859100342,0.7389586567878723
0.7789708971977234,149.18400385275157,0.5850337147712708,64,24.1312735080719,49.05370020866394,0.8210791945457458,0.7106339931488037
0.7821457386016846,167.61978616460812,0.5140817761421204,65,21.47717809677124,58.982298612594604,0.8501207232475281,0.7058964967727661
0.7788547277450562,166.1118279828242,0.5600743293762207,66,21.672147274017334,55.994420766830444,0.8359383344650269,0.7248439788818359
0.7768800854682922,173.48144395853333,0.6060761213302612,67,20.75149893760681,60.228283166885376,0.8270715475082397,0.7402145266532898
0.778454601764679,180.0934902575045,0.46582818031311035,68,19.989617586135864,55.79194688796997,0.8548257946968079,0.742446780204773
0.7834363579750061,137.24163578747653,0.5445631146430969,69,26.231106758117676,50.08597946166992,0.8333673477172852,0.7258064150810242
0.7897216081619263,168.57917285076158,0.44645941257476807,70,21.35495114326477,52.1203339099884,0.8630959391593933,0.7002191543579102
0.7920188903808594,148.1221068503118,0.5710767507553101,71,24.304272174835205,60.03551936149597,0.8322899341583252,0.6902439594268799
0.791089653968811,184.3925190207252,0.5037593841552734,72,19.523568630218506,57.16012120246887,0.8438189625740051,0.6908193826675415
0.7882373929023743,178.28586569039885,0.5636054277420044,73,20.192290544509888,58.682958364486694,0.8382490873336792,0.6974290013313293
0.7931029796600342,183.29321566000422,0.5545697808265686,74,19.640661478042603,55.49201154708862,0.8306032419204712,0.6741427779197693
0.797439455986023,157.36586648411892,0.4427528381347656,75,22.876625537872314,61.54722833633423,0.8685322403907776,0.6573441624641418
0.797400712966919,120.24398049825788,0.49292877316474915,76,29.939128637313843,64.28532099723816,0.8533475995063782,0.6570348739624023
0.7948969602584839,131.40121593706456,0.4301062524318695,77,27.39700675010681,74.84616494178772,0.8634573221206665,0.6643147468566895
0.7932707667350769,122.36442038263388,0.45848360657691956,78,29.420316696166992,76.25973010063171,0.8633185625076294,0.671301543712616
0.7933869361877441,119.83172776456173,0.5065750479698181,79,30.04212713241577,74.41103839874268,0.8486681580543518,0.6760483980178833
0.7924060821533203,132.03594261123547,0.5652572512626648,80,27.265303134918213,71.07362508773804,0.8337695002555847,0.681445837020874
0.7907153964042664,112.77856744090998,0.4431997835636139,81,31.920958757400513,68.01780939102173,0.873139500617981,0.6928342580795288
0.7905088663101196,128.6472199005544,0.47983652353286743,82,27.983504056930542,73.49655342102051,0.8566079139709473,0.6979393362998962
0.7965489029884338,94.98601063985883,0.48307210206985474,83,37.900317907333374,89.95441055297852,0.8513543009757996,0.6726380586624146
0.8012725114822388,97.74119525275704,0.5799896121025085,84,36.83196210861206,104.97205400466919,0.8302494883537292,0.6505446434020996
0.8031697273254395,90.87000094748689,0.4784281253814697,85,39.617034912109375,116.55402898788452,0.8512434959411621,0.6450868248939514
0.8039699196815491,61.4391395120516,0.46875083446502686,86,58.59457063674927,118.28276324272156,0.8623541593551636,0.6471872925758362
0.7999948263168335,63.633588260833186,0.4662051200866699,87,56.5738959312439,122.8936882019043,0.8595995306968689,0.6573808193206787
0.7964586019515991,67.20516960542385,0.5207096934318542,88,53.56730771064758,138.43751502037048,0.8473527431488037,0.6630677580833435
0.8013758063316345,37.08142261221987,0.38869383931159973,89,97.08365392684937,157.78461074829102,0.8786799907684326,0.6414126753807068
0.7992591857910156,29.249305614699136,0.3877285122871399,90,123.07984495162964,170.56196427345276,0.8767692446708679,0.6564359068870544
0.7905476093292236,36.18106829110822,0.43580684065818787,91,99.49954962730408,167.91663932800293,0.8677047491073608,0.7000091671943665
0.7877469658851624,35.10142700517171,0.37684303522109985,92,102.55993294715881,176.05171394348145,0.8847599029541016,0.7241009473800659
0.7847011685371399,27.746105191524318,0.36983585357666016,93,129.74794030189514,177.531888961792,0.8795554041862488,0.7537663578987122
