"round_num","validation/validation_time_in_seconds","sparse_categorical_accuracy","validation/sparse_categorical_accuracy","train_step_time_in_seconds","train_steps_per_hour","validation/loss","loss"
184,17.629449605941772,0.7882978916168213,0.7970780730247498,2.8560867309570312,1260.4659238739907,0.6497776508331299,0.7009042501449585
185,17.73171830177307,0.781499981880188,0.797052264213562,3.028604745864868,1188.6661687746778,0.6513723731040955,0.76209557056427
186,17.650110960006714,0.7392417788505554,0.7962391972541809,3.133335828781128,1148.9352551783143,0.6536827683448792,0.9059801697731018
187,17.75187659263611,0.8178808093070984,0.795606791973114,2.9803578853607178,1207.9086265723038,0.654991090297699,0.6214867830276489
188,17.76825451850891,0.7646037936210632,0.7948582172393799,2.8930375576019287,1244.3668387713847,0.659194827079773,0.8287361264228821
189,17.587491035461426,0.8174523711204529,0.793064296245575,2.9638068675994873,1214.654044889164,0.6626789569854736,0.6343545913696289
190,17.626503229141235,0.7989810109138489,0.7940322160720825,3.253809690475464,1106.395377252057,0.6566274166107178,0.7394098043441772
191,17.570536851882935,0.8102799654006958,0.7882632613182068,3.1895906925201416,1128.6714651012444,0.6713369488716125,0.6488056182861328
192,17.789674282073975,0.7759634256362915,0.7867790460586548,2.93371319770813,1227.1138169921944,0.6757319569587708,0.7912829518318176
193,17.64525032043457,0.8087719082832336,0.7853593826293945,3.3070812225341797,1088.5732033038364,0.6798492074012756,0.6630505323410034
194,17.662680625915527,0.7874237298965454,0.7843914031982422,2.972853899002075,1210.9575923688833,0.6833930611610413,0.7355783581733704
195,17.550638675689697,0.7923193573951721,0.7872952818870544,3.071800708770752,1171.9510285029587,0.6735672354698181,0.7170835137367249
196,17.591902017593384,0.7663019895553589,0.790173351764679,3.1049110889434814,1159.4534905748249,0.667978048324585,0.8352600932121277
197,17.58405351638794,0.7880681753158569,0.7926512956619263,2.761183738708496,1303.7886430853196,0.6631546020507812,0.7689777612686157
198,17.58398127555847,0.7885438799858093,0.7957229614257812,3.023723602294922,1190.5850115624658,0.6532973051071167,0.7615349292755127
199,17.62730860710144,0.7861524820327759,0.7979298830032349,3.2124180793762207,1120.6511453512421,0.6457114815711975,0.7327332496643066
200,17.619287490844727,0.7739130258560181,0.7975168824195862,2.638934850692749,1364.1867661321614,0.6456606984138489,0.753273069858551
201,17.68857455253601,0.7560823559761047,0.797155499458313,2.8162598609924316,1278.2911299710045,0.6488866806030273,0.8559868931770325
202,17.538347482681274,0.7931034564971924,0.7935031056404114,3.4296679496765137,1049.6642977754018,0.6616931557655334,0.6921907067298889
