"validation/eval/mean_squared_error","validation/eval/mean_absolute_error","mean_absolute_error","round_num","loss","validation/eval/loss","eval/mean_absolute_error","validation/stat/num_examples","validation/validation_time_in_seconds","eval/loss","eval/mean_squared_error","mean_squared_error","stat/num_examples","round_time_in_seconds"
0.2541385591030121,0.4846861958503723,"",0.0,"",0.2541385591030121,"",77483.0,115.95561480522156,"","","","",""
0.021519560366868973,0.10560797154903412,0.20096753537654877,1.0,0.06284429132938385,0.021519560366868973,"",77483.0,113.15132474899292,"","",0.06284429132938385,"",301.5948066711426
0.018637731671333313,0.08168156445026398,0.09173392504453659,2.0,0.01930035836994648,0.018637731671333313,"",77483.0,120.77383804321289,"","",0.01930035836994648,"",43.28476691246033
0.01791425049304962,0.07216981798410416,0.07554718106985092,3.0,0.0173183623701334,0.01791425049304962,"",77483.0,112.90303826332092,"","",0.0173183623701334,"",38.172056913375854
0.017553117126226425,0.06675955653190613,0.06827279180288315,4.0,0.016931379213929176,0.017553117126226425,"",77483.0,116.39630222320557,"","",0.016931379213929176,"",40.57173228263855
0.01735696941614151,0.06402046978473663,0.06544920802116394,5.0,0.017541231587529182,0.01735696941614151,"",77483.0,121.10820007324219,"","",0.017541231587529182,"",39.506972551345825
0.017222421243786812,0.06128690764307976,0.06117633730173111,6.0,0.0162375345826149,0.017222421243786812,"",77483.0,113.82366013526917,"","",0.01623753271996975,"",37.7328782081604
0.01714077964425087,0.05962800979614258,0.05990630388259888,7.0,0.016867738217115402,0.01714077964425087,"",77483.0,115.48266410827637,"","",0.01686774007976055,"",42.8289258480072
0.017088264226913452,0.05863118916749954,0.05886457487940788,8.0,0.01708429679274559,0.017088264226913452,"",77483.0,122.13323140144348,"","",0.01708429679274559,"",39.60700440406799
0.017044443637132645,0.05697654187679291,0.05615641176700592,9.0,0.015905804932117462,0.017044443637132645,"",77483.0,107.43856477737427,"","",0.015905804932117462,"",39.627580642700195
0.01702124997973442,0.05582593008875847,0.05472138151526451,10.0,0.01590299792587757,0.01702124997973442,"",77483.0,106.30763959884644,"","",0.01590299978852272,"",36.576234579086304
0.016985710710287094,0.055344510823488235,0.054793719202280045,11.0,0.016517994925379753,0.016985710710287094,"",77483.0,114.32292366027832,"","",0.016517994925379753,"",37.009700298309326
0.016964100301265717,0.05473159998655319,0.054489169269800186,12.0,0.016670111566781998,0.016964100301265717,"",77483.0,115.3843240737915,"","",0.016670111566781998,"",38.22246742248535
0.016932478174567223,0.05442294478416443,0.05429219827055931,13.0,0.016849549487233162,0.016932478174567223,"",77483.0,115.334233045578,"","",0.016849549487233162,"",39.62842869758606
0.016930541023612022,0.05350508168339729,0.05297582969069481,14.0,0.016343088820576668,0.016930541023612022,"",77483.0,120.19962215423584,"","",0.016343088820576668,"",40.7033588886261
0.016909727826714516,0.05307628959417343,0.05230218917131424,15.0,0.016238078474998474,0.016909727826714516,"",77483.0,111.05171751976013,"","",0.016238078474998474,"",37.322197914123535
0.01689423993229866,0.052823446691036224,0.05196819454431534,16.0,0.016381101682782173,0.01689423993229866,"",77483.0,109.84225392341614,"","",0.016381101682782173,"",35.08232069015503
0.016896413639187813,0.05252949148416519,0.05199878290295601,17.0,0.016609596088528633,0.016896413639187813,"",77483.0,112.15607810020447,"","",0.016609596088528633,"",36.616596698760986
0.016901493072509766,0.05167919397354126,0.05010810121893883,18.0,0.015550469979643822,0.016901493072509766,"",77483.0,112.2679455280304,"","",0.015550469979643822,"",37.689310789108276
0.016866395249962807,0.051903609186410904,0.051406510174274445,19.0,0.01675841212272644,0.016866395249962807,"",77483.0,112.34490871429443,"","",0.01675841212272644,"",38.42092823982239
0.016864078119397163,0.051461607217788696,0.05082878842949867,20.0,0.01641860604286194,0.016864078119397163,"",77483.0,112.18917226791382,"","",0.01641860604286194,"",32.34022927284241
0.01686783693730831,0.0509173683822155,0.04981395602226257,21.0,0.016012946143746376,0.01686783693730831,"",77483.0,110.40281915664673,"","",0.016012946143746376,"",38.50111961364746
0.016851715743541718,0.050740860402584076,0.04967356100678444,22.0,0.016146326437592506,0.016851715743541718,"",77483.0,117.61457538604736,"","",0.016146328300237656,"",41.378918170928955
0.016840962693095207,0.05072927102446556,0.050076719373464584,23.0,0.016547007486224174,0.016840962693095207,"",77483.0,121.07950925827026,"","",0.016547009348869324,"",32.23435425758362
