"validation/sparse_categorical_accuracy","validation/loss","round_num","train_steps_per_hour","train_step_time_in_seconds","loss","validation/validation_time_in_seconds","sparse_categorical_accuracy"
0.09001974761486053,3.7680535316467285,10,34.070518817984095,105.66319870948792,3.739722490310669,174.08471202850342,0.06537842005491257
0.09714388847351074,3.752148151397705,11,31.780999004707862,113.275230884552,3.6691572666168213,168.9801630973816,0.07256162911653519
0.09985416382551193,3.7390358448028564,12,32.41756778070556,111.0508975982666,3.7030107975006104,181.5371584892273,0.06148148328065872
0.10034459084272385,3.7286081314086914,13,30.62811472114069,117.53906607627869,3.7378287315368652,178.0095546245575,0.07019470632076263
0.09676961600780487,3.719027042388916,14,28.226995723225805,127.53748345375061,3.7392220497131348,180.73032593727112,0.06156665086746216
0.08723203837871552,3.711015224456787,15,28.336193242194017,127.04599976539612,3.742783308029175,174.6306028366089,0.06231454014778137
0.07791386544704437,3.7037031650543213,16,33.521749039614136,107.39296436309814,3.6973533630371094,175.9745364189148,0.06485655903816223
0.0680665448307991,3.6969492435455322,17,32.36434331341638,111.23352527618408,3.6785333156585693,180.986013174057,0.07071109116077423
0.0635107085108757,3.6898207664489746,18,30.839175103524607,116.73463988304138,3.616320848464966,179.6967351436615,0.07758046686649323
0.0667630285024643,3.6835522651672363,19,30.32544938102008,118.71217322349548,3.6375749111175537,179.2991602420807,0.07148896157741547
0.07457119971513748,3.6783666610717773,20,38.806129690480475,92.76884937286377,3.614778518676758,173.8087878227234,0.07665505260229111
0.08257295191287994,3.672940731048584,21,29.249169747107704,123.08041667938232,3.7100672721862793,180.15978956222534,0.06919511407613754
0.09515635669231415,3.6678085327148438,22,30.098521080377502,119.60720562934875,3.6668877601623535,176.5606210231781,0.07363594323396683
0.11689015477895737,3.6615068912506104,23,35.408934499541644,101.66925525665283,3.5517683029174805,173.61397671699524,0.08491017669439316
0.15279480814933777,3.654728651046753,24,27.391220415729492,131.42897415161133,3.6509201526641846,177.7589762210846,0.08034111559391022
0.19361665844917297,3.647156000137329,25,28.814716286671636,124.93615984916687,3.631981134414673,180.95632362365723,0.08212824165821075
0.22808873653411865,3.6367380619049072,26,34.5574337931035,104.1744019985199,3.5888781547546387,179.0525290966034,0.08963474631309509
0.25493332743644714,3.624826192855835,27,30.91655397956159,116.4424729347229,3.580768346786499,174.96877312660217,0.09865900129079819
0.2753765285015106,3.6114022731781006,28,31.526220356442206,114.19066286087036,3.5021374225616455,177.3601701259613,0.10791121423244476
0.2901668846607208,3.596412181854248,29,30.081664532643096,119.67422866821289,3.5865485668182373,178.27466130256653,0.10602409392595291
0.300065815448761,3.578298568725586,30,26.092378899478053,137.9713215827942,3.503913640975952,178.76891469955444,0.125238299369812
0.307228684425354,3.5568628311157227,31,37.92866808424494,94.91501235961914,3.400423765182495,169.64384984970093,0.13817504048347473
0.3137204349040985,3.5328028202056885,32,31.765520901290287,113.33042550086975,3.4841625690460205,181.6794970035553,0.1374412477016449
0.3156305253505707,3.5046942234039307,33,35.922052227140945,100.21699142456055,3.3013267517089844,182.9885549545288,0.17566585540771484
0.31446897983551025,3.471327543258667,34,34.125191063115956,105.49391484260559,3.352640390396118,175.9287292957306,0.18792325258255005
0.31285572052001953,3.432447671890259,35,32.33771428945175,111.3251223564148,3.315246105194092,177.68307757377625,0.19721555709838867
0.3152046203613281,3.389064311981201,36,32.66160079523754,110.22117447853088,3.2276418209075928,181.52716398239136,0.2302832305431366
0.3186376392841339,3.3389906883239746,37,35.175081924052975,102.34517741203308,3.0969254970550537,186.2322883605957,0.26010313630104065
0.3241485357284546,3.284458637237549,38,33.31014002247226,108.07519865036011,3.1687023639678955,173.0476484298706,0.24152791500091553
0.3322148025035858,3.2212233543395996,39,31.497149616937612,114.29605674743652,2.890321731567383,169.70575761795044,0.3130616545677185
0.3450692296028137,3.147719383239746,40,27.635263624864454,130.26834297180176,2.8840062618255615,177.55087232589722,0.3129943609237671
0.3613566756248474,3.0658559799194336,41,29.047397800902544,123.93537020683289,2.856557846069336,185.0989429950714,0.3404054641723633
0.37807002663612366,2.978496789932251,42,33.04221510593081,108.95153331756592,2.6510040760040283,184.02459692955017,0.38865822553634644
0.39557063579559326,2.885854482650757,43,25.785039959458135,139.61583948135376,2.4509050846099854,176.15463709831238,0.4324367046356201
0.41221946477890015,2.7897768020629883,44,31.198858812494148,115.38883590698242,2.5170230865478516,176.42830181121826,0.4151984453201294
0.42697107791900635,2.69294810295105,45,33.50139556843788,107.45820999145508,2.4325764179229736,180.9579586982727,0.4445539712905884
0.43910276889801025,2.598919153213501,46,35.9224284233899,100.21594190597534,2.4515326023101807,184.59690737724304,0.4496535658836365
0.45025360584259033,2.510500431060791,47,37.56478192031988,95.83444428443909,2.2852559089660645,175.91272854804993,0.49651917815208435
0.4619077742099762,2.426837682723999,48,30.05221725697414,119.79149389266968,2.0089502334594727,176.45225858688354,0.5429782867431641
0.4729553461074829,2.348893404006958,49,32.76561105417842,109.87129139900208,2.0251903533935547,181.81294131278992,0.5402663946151733
0.48397713899612427,2.275954484939575,50,30.98195465799975,116.1966712474823,2.1433603763580322,183.28327322006226,0.49276232719421387
0.4930630028247833,2.2089574337005615,51,34.36637690850278,104.75355052947998,1.959769606590271,176.541405916214,0.559662938117981
0.5033233165740967,2.1461639404296875,52,30.003525313695278,119.98590040206909,1.900316596031189,175.2562792301178,0.5473967790603638
0.5125640630722046,2.0875658988952637,53,33.88235058424811,106.25000739097595,1.8076058626174927,181.51179194450378,0.5815369486808777
0.5209788084030151,2.0337719917297363,54,32.74578893216213,109.93780016899109,1.7462347745895386,182.37378597259521,0.5833333134651184
0.5291483402252197,1.9835848808288574,55,29.04242655498522,123.95658445358276,1.6312949657440186,175.04205703735352,0.5954759120941162
0.5362982749938965,1.938172698020935,56,36.92120109021345,97.504953622818,1.8715041875839233,179.3880500793457,0.5696287751197815
0.5438354015350342,1.89596688747406,57,27.15013349897939,132.59603309631348,1.5949010848999023,180.35913228988647,0.6102604866027832
0.5500174164772034,1.8583695888519287,58,30.45817175976087,118.19488143920898,1.6692185401916504,179.79256224632263,0.5930376648902893
0.5558896660804749,1.8222789764404297,59,32.52801791236179,110.67382001876831,1.6190217733383179,174.76216912269592,0.6065160036087036
0.5611811876296997,1.7868839502334595,60,30.66940913987811,117.38080716133118,1.5219652652740479,175.66137385368347,0.6311576962471008
