"train_steps_per_hour","validation/sparse_categorical_accuracy","train_step_time_in_seconds","round_num","loss","validation/loss","validation/validation_time_in_seconds","sparse_categorical_accuracy"
63.451321163774864,0.055431514978408813,56.73640727996826,3,3.8991358280181885,4.012509346008301,178.30917930603027,0.06269510835409164
63.40402666926484,0.055625103414058685,56.77872824668884,4,3.920571804046631,3.973367214202881,181.46967148780823,0.05823199078440666
64.11638422099848,0.05565091595053673,56.147894859313965,5,3.8748176097869873,3.9389262199401855,184.44901704788208,0.055813953280448914
71.99247343549692,0.05565091595053673,50.0052273273468,6,3.854398727416992,3.905532121658325,178.09002304077148,0.062535859644413
67.1981709665316,0.0556638240814209,53.57288670539856,7,3.8486411571502686,3.8740057945251465,186.98085284233093,0.06282352656126022
60.02135130330473,0.05597356706857681,59.97865629196167,8,3.8660943508148193,3.846306324005127,179.06158542633057,0.05342275649309158
66.65522483328408,0.059445299208164215,54.00926947593689,9,3.852886199951172,3.8213841915130615,178.27697920799255,0.05178147181868553
67.48192598095872,0.08133397251367569,53.347617864608765,10,3.8301961421966553,3.7995476722717285,178.95549631118774,0.05528717115521431
65.90509024489772,0.10237084329128265,54.62400531768799,11,3.7700231075286865,3.7795886993408203,172.78876757621765,0.06618434935808182
74.55994776086017,0.1046035885810852,48.28329563140869,12,3.7839980125427246,3.7626729011535645,184.017728805542,0.05052910000085831
67.16827359167769,0.09927339106798172,53.59673261642456,13,3.816534996032715,3.7486226558685303,178.7267303466797,0.05491762235760689
65.26360743478001,0.09955732524394989,55.1609103679657,14,3.813105344772339,3.7377045154571533,177.02327013015747,0.0545121394097805
59.80261790012568,0.10184169560670853,60.198033571243286,15,3.8223140239715576,3.729755163192749,180.96534204483032,0.05659177526831627
61.39921808771254,0.09655021131038666,58.63266849517822,16,3.7706737518310547,3.7230138778686523,174.8619740009308,0.06890369206666946
65.06282467732875,0.08257295191287994,55.331135988235474,17,3.7702200412750244,3.717957019805908,184.23837327957153,0.06066633388400078
74.81498538841662,0.06460771709680557,48.11870217323303,18,3.7138261795043945,3.7137198448181152,176.5026752948761,0.06409545242786407
64.92265784271414,0.05901939794421196,55.450594902038574,19,3.735999584197998,3.710831642150879,178.78135633468628,0.056129638105630875
91.86883511715831,0.05645109340548515,39.18630290031433,20,3.7206146717071533,3.708928108215332,183.61855030059814,0.061324041336774826
57.5639189047124,0.05577997863292694,62.539175033569336,21,3.8104982376098633,3.708702564239502,175.48563718795776,0.05667930841445923
71.49236057715603,0.05567672848701477,50.35503053665161,22,3.78023362159729,3.7097959518432617,184.38096237182617,0.05433287471532822
70.96375421808463,0.05567672848701477,50.73012328147888,23,3.6597516536712646,3.710048198699951,172.51559901237488,0.06676647067070007
56.931777851792404,0.0556638240814209,63.233577728271484,24,3.751723051071167,3.712350606918335,173.0602114200592,0.05700179561972618
62.08788899113083,0.05570254102349281,57.982322454452515,25,3.741875410079956,3.7153806686401367,179.4889621734619,0.06207367032766342
70.8804878438287,0.055818695574998856,50.78971815109253,26,3.713542938232422,3.7179982662200928,177.1122486591339,0.060710761696100235
73.08216314667871,0.05636075139045715,49.25962567329407,27,3.7430152893066406,3.719813585281372,181.3423981666565,0.05818965658545494
64.73846260227904,0.05833537504076958,55.60836410522461,28,3.6675944328308105,3.719757556915283,173.66920638084412,0.06943654268980026
57.73496835061885,0.06336873769760132,62.35389232635498,29,3.768842935562134,3.721783399581909,176.2709436416626,0.053463853895664215
53.59611976656298,0.0743388906121254,67.16904163360596,30,3.722667932510376,3.722271680831909,176.71806526184082,0.06237049400806427
72.35455925560517,0.09438199549913406,49.754984855651855,31,3.63059139251709,3.7194883823394775,178.23589396476746,0.07479826360940933
74.45572766460971,0.11812914162874222,48.35088062286377,32,3.722827434539795,3.7144172191619873,184.53975701332092,0.05796344578266144
83.76046024974045,0.131538525223732,42.97970652580261,33,3.6175131797790527,3.7068707942962646,175.49821496009827,0.07052057981491089
72.02790028787607,0.13268716633319855,49.980632305145264,34,3.6695713996887207,3.697331190109253,176.42630624771118,0.07110609114170074
63.30359381840083,0.12956389784812927,56.86880922317505,35,3.6947755813598633,3.687497138977051,181.5212962627411,0.05808929353952408
74.9462461071939,0.12573081254959106,48.03442716598511,36,3.654909610748291,3.675997495651245,180.3099982738495,0.07244008779525757
70.21027201932489,0.12601473927497864,51.27454853057861,37,3.6718177795410156,3.6651127338409424,184.8683671951294,0.07430848479270935
72.84354105158748,0.1309964805841446,49.42099118232727,38,3.7338638305664062,3.655646562576294,174.5325391292572,0.062438786029815674
70.19978682167894,0.13544906675815582,51.282207012176514,39,3.6504650115966797,3.6477901935577393,178.6873836517334,0.07471264153718948
65.20366197236255,0.1395660936832428,55.21162295341492,40,3.6546456813812256,3.6404900550842285,178.69240808486938,0.07953064143657684
69.76282349931192,0.15036846697330475,51.603415966033936,41,3.7054524421691895,3.634065628051758,179.73951888084412,0.0629420056939125
66.97919139240841,0.15757004916667938,53.74803614616394,42,3.6103086471557617,3.6281015872955322,186.22517919540405,0.0835443064570427
59.90956962638645,0.16655266284942627,60.090566873550415,43,3.6717278957366943,3.6226022243499756,167.16374564170837,0.07575158029794693
60.89527963185691,0.1680755764245987,59.11788272857666,44,3.6435413360595703,3.617802858352661,182.81036829948425,0.07502420246601105
68.79920230349265,0.16642360389232635,52.32618808746338,45,3.6442525386810303,3.6132090091705322,178.10557055473328,0.08871365338563919
85.38105676743416,0.1672108769416809,42.16391944885254,46,3.60343337059021,3.609201669692993,184.77989315986633,0.0845842957496643
80.13571900155979,0.17652904987335205,44.923787355422974,47,3.6048715114593506,3.604459524154663,186.59140968322754,0.08761061728000641
73.91227687608415,0.1965850591659546,48.706387519836426,48,3.5617032051086426,3.5989532470703125,170.70144057273865,0.09830418974161148
58.79714718526957,0.2198546826839447,61.2274603843689,49,3.5957560539245605,3.5925686359405518,179.01625275611877,0.09528688341379166
59.03963338960559,0.2446601241827011,60.97598838806152,50,3.6350457668304443,3.5870771408081055,179.60194659233093,0.09379015117883682
74.49436661643901,0.26585185527801514,48.325801849365234,51,3.504328966140747,3.5801546573638916,179.02658891677856,0.10589887946844101
66.86650353468616,0.2785772383213043,53.83861589431763,52,3.6178855895996094,3.57214093208313,180.72765064239502,0.09111310541629791
68.78648786968662,0.28691455721855164,52.33586001396179,53,3.5577826499938965,3.563382148742676,172.93840432167053,0.11152694374322891
