"loss","round_num","train_steps_per_hour","sparse_categorical_accuracy","validation/validation_time_in_seconds","validation/loss","validation/sparse_categorical_accuracy","train_step_time_in_seconds"
3.818643569946289,16,109.48226864050423,0.053278688341379166,181.90173983573914,3.762489080429077,0.06374301761388779,32.88203692436218
3.8280749320983887,17,106.79786957851636,0.058677274733781815,177.12161707878113,3.7569632530212402,0.055805791169404984,33.708537578582764
3.7855329513549805,18,95.71715417362572,0.0621531642973423,176.00220918655396,3.752718448638916,0.05568963661789894,37.61081314086914
3.8046061992645264,19,98.34284158090722,0.05871301144361496,180.3640842437744,3.749236583709717,0.05565091595053673,36.606629848480225
3.7876031398773193,20,136.95620071140698,0.06411150097846985,175.27701997756958,3.745772123336792,0.05565091595053673,26.285775899887085
3.8565688133239746,21,105.3782225722044,0.044669196009635925,185.2720663547516,3.743086338043213,0.05565091595053673,34.16265630722046
3.8344743251800537,22,110.60695003069958,0.04860156029462814,173.97101044654846,3.7417545318603516,0.05565091595053673,32.54768347740173
3.724752902984619,23,123.38496259888615,0.05449101701378822,181.1050934791565,3.7388787269592285,0.05565091595053673,29.17697525024414
3.806413173675537,24,91.49163417928281,0.05071813240647316,175.62481570243835,3.736233711242676,0.05565091595053673,39.34785985946655
3.7997641563415527,25,100.63733894662329,0.05366075411438942,183.2698929309845,3.7342913150787354,0.05565091595053673,35.772011041641235
3.770354986190796,26,111.46785348815521,0.060217175632715225,175.75099086761475,3.7321243286132812,0.05565091595053673,32.296306848526
3.798698902130127,27,102.81704088408674,0.05316092073917389,177.53654837608337,3.7311270236968994,0.05565091595053673,35.01365113258362
3.7357077598571777,28,115.18015771513971,0.05748434737324715,178.31504774093628,3.729933977127075,0.05565091595053673,31.255383491516113
3.821711778640747,29,113.0407612207137,0.052710842341184616,179.7557270526886,3.7286195755004883,0.05565091595053673,31.846919298171997
3.788069248199463,30,86.12826428139284,0.045171983540058136,176.6652512550354,3.725198268890381,0.05565091595053673,41.79812550544739
3.6938931941986084,31,118.6187153228963,0.06517691165208817,172.8831901550293,3.721338987350464,0.05565091595053673,30.349342346191406
3.7809808254241943,32,116.16936167452893,0.05639686807990074,183.5220742225647,3.7163732051849365,0.05565091595053673,30.989238023757935
3.6984074115753174,33,123.56657280366444,0.06295399367809296,175.80291938781738,3.7109079360961914,0.05565091595053673,29.134092807769775
3.732361078262329,34,144.41987534617098,0.06997742503881454,183.48603773117065,3.705564498901367,0.0559348501265049,24.927316904067993
3.7569122314453125,35,104.42668618021861,0.054728757590055466,178.4442422389984,3.705078125,0.05722545459866524,34.4739465713501
3.7266130447387695,36,108.656588212376,0.05174291878938675,185.81926774978638,3.7035655975341797,0.06264600157737732,33.13190722465515
3.755851984024048,37,120.65034278389548,0.05485232174396515,178.65736532211304,3.7014126777648926,0.07339674234390259,29.838290691375732
3.786194324493408,38,104.64583389426419,0.050930459052324295,175.7083888053894,3.6987221240997314,0.08783861994743347,34.40175175666809
3.7314980030059814,39,99.46318776436932,0.06844305247068405,184.37698888778687,3.6983978748321533,0.09439489990472794,36.19429540634155
3.728473663330078,40,105.356784836421,0.06518904864788055,178.20492100715637,3.6978001594543457,0.09510473161935806,34.169607639312744
3.7846391201019287,41,98.30334400437758,0.05893446505069733,178.32168793678284,3.6965794563293457,0.09935082495212555,36.62133812904358
3.6887853145599365,42,106.80966002216891,0.0501265823841095,178.74962854385376,3.6946423053741455,0.1047842726111412,33.704816579818726
3.7430169582366943,43,94.92658861067608,0.05379746854305267,183.55411434173584,3.6924002170562744,0.12362711876630783,37.92404270172119
3.715651512145996,44,111.93865342883765,0.05953533574938774,175.28328251838684,3.691258192062378,0.13755275309085846,32.16047263145447
3.7186763286590576,45,101.69114877744188,0.06752094626426697,183.66796565055847,3.6898887157440186,0.1414116621017456,35.40131115913391
3.710177421569824,46,122.89738245855412,0.058891456574201584,174.01695775985718,3.686842918395996,0.1373978853225708,29.292731285095215
3.6965279579162598,47,126.2050775641006,0.061356931924819946,186.57283234596252,3.683068037033081,0.1295509934425354,28.525001287460327
3.6698544025421143,48,116.95394059406831,0.06730259954929352,176.3739595413208,3.678529977798462,0.11885187774896622,30.78134846687317
3.714412212371826,49,117.09422365787476,0.06557376682758331,182.87870860099792,3.675736904144287,0.10069305449724197,30.744471311569214
