"validation/eval/mean_squared_error","round_num","eval/loss","mean_squared_error","stat/num_examples","eval/mean_squared_error","round_time_in_seconds","validation/eval/loss","validation/eval/mean_absolute_error","validation/stat/num_examples","mean_absolute_error","eval/mean_absolute_error","loss","validation/validation_time_in_seconds"
0.029122525826096535,21.0,"",0.02878524363040924,"","",21.855626106262207,0.029122525826096535,0.038612160831689835,77483.0,0.038046713918447495,"",0.02878524363040924,8.897332429885864
0.029122525826096535,22.0,"",0.02890314720571041,"","",21.051290273666382,0.029122525826096535,0.038612160831689835,77483.0,0.03832516074180603,"",0.02890314720571041,8.604856252670288
0.029122525826096535,23.0,"",0.029754651710391045,"","",21.13534140586853,0.029122525826096535,0.038612160831689835,77483.0,0.039371173828840256,"",0.029754651710391045,8.650357484817505
0.029122525826096535,24.0,"",0.029997503384947777,"","",21.137495756149292,0.029122525826096535,0.038612160831689835,77483.0,0.03948710486292839,"",0.029997503384947777,8.66703200340271
0.029122525826096535,25.0,"",0.029094664379954338,"","",21.07142686843872,0.029122525826096535,0.038612160831689835,77483.0,0.03856448456645012,"",0.029094664379954338,8.51576828956604
0.029122525826096535,26.0,"",0.029809437692165375,"","",25.18951416015625,0.029122525826096535,0.038612160831689835,77483.0,0.03951702266931534,"",0.029809433966875076,8.578052520751953
0.029122525826096535,27.0,"",0.028628187254071236,"","",21.090628147125244,0.029122525826096535,0.038612160831689835,77483.0,0.03805271163582802,"",0.028628187254071236,8.642491102218628
0.029122525826096535,28.0,"",0.031015900894999504,"","",20.989222526550293,0.029122525826096535,0.038612160831689835,77483.0,0.04064095765352249,"",0.031015900894999504,8.723088026046753
0.029122525826096535,29.0,"",0.029126174747943878,"","",22.91300129890442,0.029122525826096535,0.038612160831689835,77483.0,0.03852596506476402,"",0.02912616729736328,8.623327493667603
0.029122525826096535,30.0,"",0.029585227370262146,"","",21.799097061157227,0.029122525826096535,0.038612160831689835,77483.0,0.03896728530526161,"",0.029585231095552444,8.652472734451294
0.029122525826096535,31.0,"",0.030436091125011444,"","",20.729660272598267,0.029122525826096535,0.038612160831689835,77483.0,0.0399438813328743,"",0.030436091125011444,8.927000999450684
0.029122525826096535,32.0,"",0.028859181329607964,"","",20.949806213378906,0.029122525826096535,0.038612160831689835,77483.0,0.038502853363752365,"",0.028859181329607964,8.667171716690063
0.029122525826096535,33.0,"",0.029763681814074516,"","",20.62176823616028,0.029122525826096535,0.038612160831689835,77483.0,0.03949862718582153,"",0.029763685539364815,8.681089162826538
0.029122525826096535,34.0,"",0.02960537001490593,"","",20.41434597969055,0.029122525826096535,0.038612160831689835,77483.0,0.03918551653623581,"",0.02960537001490593,8.522534370422363
0.029122525826096535,35.0,"",0.02872057445347309,"","",21.870248317718506,0.029122525826096535,0.038612160831689835,77483.0,0.03808935359120369,"",0.02872057445347309,8.623207807540894
0.029122525826096535,36.0,"",0.028789572417736053,"","",21.997288703918457,0.029122525826096535,0.038612160831689835,77483.0,0.03822453320026398,"",0.028789572417736053,8.584039688110352
0.029122525826096535,37.0,"",0.029774826020002365,"","",20.999939918518066,0.029122525826096535,0.038612160831689835,77483.0,0.039412230253219604,"",0.029774826020002365,8.599212646484375
0.029122525826096535,38.0,"",0.029515698552131653,"","",21.807162523269653,0.029122525826096535,0.038612160831689835,77483.0,0.03914356231689453,"",0.029515698552131653,8.725569486618042
0.029122525826096535,39.0,"",0.02931966632604599,"","",20.940632343292236,0.029122525826096535,0.038612160831689835,77483.0,0.03883916884660721,"",0.02931966632604599,8.695805788040161
