"validation/sparse_categorical_accuracy","train_steps_per_hour","round_num","sparse_categorical_accuracy","validation/validation_time_in_seconds","validation/loss","loss","train_step_time_in_seconds"
0.6797749400138855,82.5682128825916,47,0.6778761148452759,178.84941720962524,1.1881765127182007,1.3277031183242798,43.600313901901245
0.6821367144584656,80.48578196639576,48,0.707207202911377,185.8251016139984,1.1740477085113525,1.1689409017562866,44.72839689254761
0.6917259097099304,74.28290673355133,49,0.7218237519264221,176.6381688117981,1.1375070810317993,1.058234453201294,48.46337008476257
0.7019991278648376,58.285159904147726,50,0.6695931553840637,172.78681302070618,1.093636155128479,1.2431198358535767,61.76529335975647
0.7059742212295532,74.46153262883921,51,0.7008426785469055,183.6904113292694,1.0689488649368286,1.177410364151001,48.347111225128174
0.7011473774909973,61.4691102859283,52,0.7163375020027161,176.63551950454712,1.0603092908859253,1.0420607328414917,58.566001415252686
0.6951847672462463,74.08718174748664,53,0.7255489230155945,184.12319612503052,1.067541241645813,1.0479276180267334,48.59140157699585
0.6915452480316162,66.45698185308024,54,0.7191619873046875,177.02729487419128,1.0793414115905762,1.0465174913406372,54.17038059234619
0.6886543035507202,58.426166688988665,55,0.7336747646331787,171.73650360107422,1.096411943435669,0.991607129573822,61.616227865219116
0.6992114186286926,77.60076467784356,56,0.6903824806213379,180.50038480758667,1.0567383766174316,1.1972410678863525,46.391295433044434
0.7109301686286926,56.25363756209911,57,0.7571033835411072,179.3343014717102,1.0076088905334473,0.8666395545005798,63.995861530303955
0.7227520942687988,63.93745132677936,58,0.7124463319778442,182.5855906009674,0.9582029581069946,1.0987194776535034,56.305028200149536
0.7315024137496948,73.45528363012482,59,0.7180767059326172,172.7797167301178,0.9255562424659729,1.0152479410171509,49.009408473968506
0.7329091429710388,63.20996651099192,60,0.7470223903656006,178.6934576034546,0.9191679358482361,0.9561221599578857,56.953043937683105
0.7308958172798157,67.41526548274888,61,0.7383784055709839,178.53808617591858,0.9247357845306396,0.9634069204330444,53.400368213653564
0.7299665808677673,67.60262728007513,62,0.7253037691116333,175.300785779953,0.9240759015083313,0.9836521744728088,53.252368211746216
0.7368713021278381,64.88888823950079,63,0.7027385234832764,181.7348816394806,0.8957417607307434,1.0943087339401245,55.47945261001587
0.7433372735977173,66.36816693986654,64,0.7223902940750122,173.10936784744263,0.8667060732841492,1.0018601417541504,54.24287223815918
0.744627833366394,52.50550799482936,65,0.7590535879135132,169.61541175842285,0.8537523150444031,0.862838625907898,68.5642352104187
0.7409754395484924,70.55978371309585,66,0.7477405667304993,177.8668224811554,0.8594714999198914,0.9215453267097473,51.020564556121826
0.7361356616020203,65.69152954322485,67,0.7323726415634155,169.19490766525269,0.8697320222854614,1.0079718828201294,54.80158591270447
0.7361744046211243,71.87456107746526,68,0.7638492584228516,181.9300730228424,0.8736516237258911,0.8408749103546143,50.08726239204407
0.7399687767028809,67.6517552038106,69,0.7471938729286194,177.06306505203247,0.8664490580558777,0.8634885549545288,53.21369695663452
0.746396005153656,74.07656895906607,70,0.7878163456916809,171.56992435455322,0.8484021425247192,0.7618136405944824,48.598363161087036
0.7523585557937622,72.47551690261486,71,0.7515101432800293,182.61298489570618,0.8308576345443726,0.9481896162033081,49.67194652557373
0.7572757601737976,77.07683177845952,72,0.756346583366394,176.31969165802002,0.8150269389152527,0.8468783497810364,46.706642150878906
0.7589406967163086,66.35049232241755,73,0.7556018829345703,180.76436114311218,0.8108517527580261,0.9133204817771912,54.25732159614563
0.7633029222488403,78.26283447208706,74,0.7447277903556824,173.90559601783752,0.7929810881614685,0.887495219707489,45.99884510040283
0.7684524059295654,70.94754792905795,75,0.7969731688499451,176.03414607048035,0.774387001991272,0.7344018220901489,50.741711378097534
0.7720274329185486,75.55546799945905,76,0.7755758166313171,177.92746472358704,0.762265145778656,0.805587649345398,47.64711403846741
0.7720403075218201,74.07259962205421,77,0.7830962538719177,179.13528513908386,0.7574938535690308,0.7036332488059998,48.60096740722656
0.7709304094314575,73.76564533180246,78,0.7858197689056396,185.12956070899963,0.7545086741447449,0.7854705452919006,48.80320620536804
0.7708142399787903,64.37074424791903,79,0.7618510127067566,171.73525762557983,0.7559125423431396,0.8403265476226807,55.92602729797363
0.7664390802383423,55.436623535761896,80,0.7530603408813477,171.86036562919617,0.7675756812095642,0.8882564306259155,64.93901991844177
0.7607088088989258,72.45613445114915,81,0.7959585785865784,180.42591404914856,0.7865570783615112,0.72458416223526,49.68523406982422
0.7585535049438477,60.40608119660469,82,0.7808369994163513,178.55863237380981,0.7950262427330017,0.7618138194084167,59.59664869308472
0.765367865562439,75.94732509468398,83,0.7781690359115601,182.9976019859314,0.7716726064682007,0.7646947503089905,47.40127444267273
0.7722080945968628,75.91257181129852,84,0.7461018562316895,169.8049509525299,0.7473775744438171,0.909393846988678,47.422975063323975
0.7784675359725952,71.62301463782948,85,0.7886061072349548,180.70839285850525,0.7335870265960693,0.713706374168396,50.2631733417511
0.7791903018951416,69.68692722696647,86,0.7913573980331421,173.99088215827942,0.7363330721855164,0.7258992195129395,51.65961742401123
0.775602400302887,75.73676306025651,87,0.7844523191452026,181.3091127872467,0.7513702511787415,0.7663927674293518,47.533058643341064
0.7703108787536621,85.14781018523601,88,0.7787031531333923,183.34850454330444,0.765249490737915,0.8125336170196533,42.27941966056824
0.7762606143951416,55.405043103594735,89,0.8124185800552368,170.44221091270447,0.7401342988014221,0.6391843557357788,64.97603464126587
0.7815778851509094,49.16342473491203,90,0.8092307448387146,177.8108401298523,0.7108452916145325,0.6523320078849792,73.2251672744751
0.7752022743225098,81.91378980415189,91,0.8033448457717896,177.92697024345398,0.7182002663612366,0.6808215975761414,43.948644161224365
0.7662068009376526,61.94955856199855,92,0.8155010342597961,174.78311920166016,0.7420371174812317,0.6419743299484253,58.111794233322144
0.758037269115448,62.24716508879385,93,0.8187772631645203,183.85557198524475,0.7781838774681091,0.5916345119476318,57.833959102630615
0.7524489164352417,59.327630261474184,94,0.791081964969635,174.69321060180664,0.8065659403800964,0.685234546661377,60.6799898147583
0.7527070641517639,58.91376362432255,95,0.8100418448448181,178.3354218006134,0.8088783025741577,0.6443637013435364,61.10626411437988
0.759056806564331,60.66702322928103,96,0.7890688180923462,173.4334795475006,0.7844921350479126,0.76739501953125,59.34031057357788
