"round_num","sparse_categorical_accuracy","validation/validation_time_in_seconds","loss","train_steps_per_hour","train_step_time_in_seconds","validation/sparse_categorical_accuracy","validation/loss"
77,0.11050327867269516,169.91514086723328,3.529208183288574,119.13193275302672,30.218598127365112,0.2679426372051239,3.566774845123291
78,0.11029049754142761,174.4094488620758,3.5529356002807617,111.86984090509081,32.18025493621826,0.2697882056236267,3.56010103225708
79,0.10158013552427292,168.40929746627808,3.620631456375122,110.81203466331186,32.48744606971741,0.2742666006088257,3.5536904335021973
80,0.08906711637973785,178.04124426841736,3.6293811798095703,104.14016179191741,34.568795919418335,0.277648001909256,3.5464682579040527
81,0.11039920896291733,171.0340621471405,3.5196352005004883,117.11263993984521,30.739636659622192,0.27990657091140747,3.5375263690948486
82,0.12389867752790451,181.05641674995422,3.483334541320801,125.95294328893951,28.58210301399231,0.2833653688430786,3.52870512008667
83,0.11917659640312195,176.4920461177826,3.4939687252044678,100.15325818810481,35.94491147994995,0.289147287607193,3.519528388977051
84,0.11486486345529556,177.4221076965332,3.578805685043335,112.23101060927766,32.076695919036865,0.2958197295665741,3.509660482406616
85,0.16425679624080658,176.21336555480957,3.4212899208068848,132.5491346907141,27.15973973274231,0.2998851239681244,3.4969234466552734
86,0.15482503175735474,168.1943507194519,3.465658187866211,104.39058623948425,34.48586821556091,0.3016919791698456,3.4817912578582764
87,0.14664310216903687,168.93888521194458,3.440469741821289,118.05970247630387,30.493046522140503,0.30351173877716064,3.465268611907959
88,0.14396192133426666,171.64213037490845,3.4418230056762695,127.50874057350572,28.23335862159729,0.3047507107257843,3.448028564453125
89,0.1489361673593521,173.89159107208252,3.4075183868408203,100.18031667527683,35.935202836990356,0.3065575659275055,3.428807020187378
90,0.1557692289352417,174.06135153770447,3.454209089279175,93.85435407475856,38.357304096221924,0.3136429786682129,3.4082577228546143
91,0.22087658941745758,170.18892669677734,3.303461790084839,124.04120556809221,29.022613763809204,0.3185860216617584,3.386669397354126
92,0.19467641413211823,173.13680458068848,3.313310146331787,120.45573232046719,29.886497974395752,0.32349032163619995,3.3629283905029297
93,0.1893608570098877,179.86892437934875,3.404493808746338,84.9537633225816,42.37599205970764,0.3325374722480774,3.3380160331726074
94,0.20235399901866913,178.72492671012878,3.355316638946533,119.62812344733241,30.093258142471313,0.34153297543525696,3.3112947940826416
95,0.1849372386932373,180.53392243385315,3.3222439289093018,103.98176949856543,34.621453523635864,0.35223209857940674,3.285350799560547
96,0.20000000298023224,177.57597661018372,3.3319761753082275,114.29112518392309,31.49850869178772,0.3620019853115082,3.257431745529175
97,0.21485836803913116,176.18646931648254,3.2536635398864746,114.35710060689225,31.4803364276886,0.3688163757324219,3.2265377044677734
98,0.24444444477558136,174.1909954547882,3.223900556564331,122.30561449439072,29.434462308883667,0.3747531771659851,3.1936144828796387
99,0.20946578681468964,169.76437640190125,3.3023180961608887,110.09434533665095,32.69922709465027,0.3791283369064331,3.1607666015625
100,0.2623509466648102,182.59648203849792,3.1516408920288086,134.4249934165158,26.780734062194824,0.3830517530441284,3.125978946685791
101,0.2764449417591095,174.2293312549591,3.1177332401275635,120.70698353092314,29.824289321899414,0.3857749402523041,3.0909056663513184
102,0.2824099063873291,173.07726669311523,3.09665584564209,103.74359978462932,34.70093584060669,0.389195054769516,3.0542550086975098
103,0.2785714268684387,170.6875548362732,3.06268048286438,83.85528554397207,42.93110418319702,0.3924344778060913,3.0166780948638916
104,0.2932417094707489,173.55853629112244,2.9994616508483887,124.3904449913194,28.941129684448242,0.39376378059387207,2.981569528579712
105,0.30683809518814087,172.3597002029419,2.979445457458496,107.89653205004093,33.36529850959778,0.3943445682525635,2.9485976696014404
106,0.2676125168800354,173.63806700706482,3.0503053665161133,108.26191703199953,33.25269031524658,0.39598363637924194,2.9167978763580322
107,0.3644295334815979,169.52429389953613,2.7974677085876465,125.28720273329738,28.733980178833008,0.39566099643707275,2.885683059692383
108,0.2621318995952606,177.45202159881592,3.0579257011413574,98.82456741631297,36.42818880081177,0.396357923746109,2.8526549339294434
109,0.28360047936439514,170.17067790031433,2.9678502082824707,103.1935601289815,34.88589787483215,0.400836318731308,2.814128875732422
110,0.30648648738861084,172.72787857055664,2.9096341133117676,105.70152242310274,34.05816602706909,0.40563735365867615,2.7764203548431396
111,0.3326435685157776,174.7334439754486,2.855544090270996,127.44015579143877,28.248553037643433,0.41045132279396057,2.7384095191955566
112,0.3052884638309479,170.65954875946045,2.888176441192627,98.31378529394254,36.617448806762695,0.41849181056022644,2.6987037658691406
113,0.3207094967365265,173.75701880455017,2.847353935241699,136.65444684613377,26.34381890296936,0.4272679090499878,2.659025192260742
114,0.3604240417480469,166.28523063659668,2.7523109912872314,101.73004607979674,35.387775182724,0.43586334586143494,2.6164214611053467
115,0.3788522779941559,174.39448189735413,2.6959071159362793,112.41554034435507,32.0240421295166,0.44401997327804565,2.575643301010132
116,0.4336283206939697,167.40514421463013,2.538060188293457,121.33685938803384,29.669467449188232,0.45006000995635986,2.536423921585083
117,0.35358649492263794,173.93343830108643,2.7460544109344482,91.96627414369878,39.144784688949585,0.4562549293041229,2.4984724521636963
118,0.36732327938079834,174.730055809021,2.662569522857666,95.98982834835635,37.503973722457886,0.4634307026863098,2.460519313812256
119,0.4179978668689728,177.16526889801025,2.481646776199341,128.93696062625224,27.920620918273926,0.4692125916481018,2.4226303100585938
120,0.43299999833106995,175.84504389762878,2.455937147140503,113.37949069338717,31.751774311065674,0.4744395613670349,2.386566162109375
121,0.4756697714328766,166.30990862846375,2.3464016914367676,112.86262715007982,31.897184133529663,0.4786856472492218,2.3521082401275635
122,0.44968006014823914,169.09474444389343,2.423207998275757,91.33872637007686,39.41373109817505,0.4820283055305481,2.3178486824035645
123,0.4597388505935669,171.5585823059082,2.3857760429382324,109.6439513680407,32.8335485458374,0.4864550828933716,2.2855751514434814
124,0.4099462330341339,178.034672498703,2.5116794109344482,127.80726114460771,28.16741371154785,0.4910496473312378,2.2547154426574707
125,0.4456186592578888,164.72294878959656,2.35384202003479,108.25556553507732,33.25464129447937,0.49787694215774536,2.223397731781006
126,0.48695650696754456,173.49593901634216,2.195003032684326,104.88319368432552,34.32389760017395,0.5032975077629089,2.1938960552215576
127,0.446373850107193,166.80148005485535,2.3471732139587402,123.57175039484133,29.132872104644775,0.5082792639732361,2.167247772216797
