"round_num","sparse_categorical_accuracy","round_time_in_seconds","validation/eval/sparse_categorical_accuracy","validation/eval/loss","validation/stat/num_examples","validation/validation_time_in_seconds","loss"
0.0,"","",0.008299999870359898,4.610877513885498,10000.0,88.20804929733276,""
1,0.10000000149011612,123.59952402114868,0.009999999776482582,4.6253838539123535,10000,85.41092252731323,4.195359706878662
2,0.07800000160932541,82.86274909973145,0.014299999922513962,4.634150981903076,10000,82.72011756896973,4.191372871398926
3,0.10499999672174454,82.90721344947815,0.015799999237060547,4.6355509757995605,10000,82.45271515846252,3.952188014984131
4,0.10100000351667404,83.22291040420532,0.009999999776482582,4.632418155670166,10000,82.51467752456665,3.8880913257598877
5,0.06700000166893005,83.35091280937195,0.015200000256299973,4.626030921936035,10000,82.37219190597534,4.053048610687256
6,0.11800000071525574,83.83266162872314,0.01489999983459711,4.598078727722168,10000,82.56349158287048,3.8803136348724365
7,0.10300000011920929,83.87357759475708,0.02070000022649765,4.5858306884765625,10000,82.59041953086853,3.970630645751953
8,0.12800000607967377,82.27986741065979,0.014000000432133675,4.578264236450195,10000,82.35234904289246,3.8120460510253906
9,0.10499999672174454,82.04950642585754,0.013899999670684338,4.581921100616455,10000,82.60415959358215,3.8292055130004883
10,0.11299999803304672,82.8528561592102,0.0210999995470047,4.559074401855469,10000,82.46794033050537,3.9482343196868896
11,0.10100000351667404,83.73706197738647,0.014000000432133675,4.570529937744141,10000,82.36157536506653,3.878694534301758
12,0.10999999940395355,82.49351835250854,0.029400000348687172,4.560836315155029,10000,82.55689263343811,3.877108335494995
13,0.13699999451637268,83.78762340545654,0.018400000408291817,4.548620700836182,10000,82.58877801895142,3.724785804748535
14,0.12800000607967377,81.534996509552,0.01979999989271164,4.548357963562012,10000,84.49225735664368,3.783308506011963
15,0.11800000071525574,82.85310769081116,0.01940000057220459,4.515275955200195,10000,83.46365737915039,3.894721031188965
16,0.10499999672174454,82.65245628356934,0.016499999910593033,4.511038303375244,10000,82.60692572593689,3.8062682151794434
17,0.10100000351667404,82.6667468547821,0.02160000056028366,4.5040740966796875,10000,82.62849736213684,3.8931708335876465
18,0.13600000739097595,82.03336000442505,0.022099999710917473,4.493381977081299,10000,82.6689841747284,3.8743019104003906
19,0.12200000137090683,82.50155401229858,0.019700000062584877,4.496326923370361,10000,82.49652886390686,3.7302422523498535
20,0.12600000202655792,83.43471550941467,0.016499999910593033,4.536297798156738,10000,83.02947640419006,3.750121831893921
21,0.08299999684095383,84.09738874435425,0.02889999933540821,4.4899373054504395,10000,87.1245002746582,4.015111923217773
22,0.10999999940395355,84.43779420852661,0.0203000009059906,4.474976062774658,10000,83.89147567749023,3.845646858215332
23,0.10700000077486038,83.28324508666992,0.026799999177455902,4.450532913208008,10000,82.57101893424988,3.8009815216064453
24,0.1340000033378601,82.91153502464294,0.02239999920129776,4.526578426361084,10000,85.9500617980957,3.627530336380005
25,0.11800000071525574,82.65289068222046,0.024900000542402267,4.437108039855957,10000,83.78992414474487,3.814030170440674
26,0.09200000017881393,83.05222082138062,0.025200000032782555,4.433460712432861,10000,84.16790676116943,3.764955759048462
27,0.11100000143051147,82.86166524887085,0.027899999171495438,4.43176794052124,10000,82.27101540565491,3.7768068313598633
28,0.0989999994635582,82.56725430488586,0.019899999722838402,4.444113254547119,10000,85.66864585876465,3.8431050777435303
29,0.09099999815225601,82.12878203392029,0.025200000032782555,4.446090221405029,10000,84.45552206039429,3.7864394187927246
30,0.10499999672174454,98.14546370506287,0.022099999710917473,4.468467712402344,10000,85.39609336853027,3.7314581871032715
31,0.11500000208616257,83.40852737426758,0.02669999934732914,4.413191318511963,10000,82.3480875492096,3.8581981658935547
32,0.10899999737739563,82.88384556770325,0.02329999953508377,4.406197547912598,10000,85.78810024261475,3.7602927684783936
33,0.12600000202655792,82.75299620628357,0.03370000049471855,4.398359775543213,10000,84.22704529762268,3.6374142169952393
34,0.11900000274181366,83.4694185256958,0.0340999998152256,4.382718563079834,10000,86.40338087081909,3.7757790088653564
35,0.09600000083446503,83.13411211967468,0.03180000185966492,4.392632484436035,10000,87.55714058876038,3.7680904865264893
36,0.10400000214576721,82.29208946228027,0.026799999177455902,4.373333930969238,10000,84.02937817573547,3.775186538696289
37,0.11599999666213989,83.94918823242188,0.028300000354647636,4.375491619110107,10000,83.3864860534668,3.5586752891540527
38,0.11400000005960464,85.3303108215332,0.03009999915957451,4.400205612182617,10000,82.11412358283997,3.6653313636779785
39,0.12300000339746475,82.32124018669128,0.024000000208616257,4.405811309814453,10000,82.27656888961792,3.724419593811035
40,0.1120000034570694,85.47078824043274,0.0348999984562397,4.3593316078186035,10000,86.25044465065002,3.615804672241211
41,0.12600000202655792,82.79127955436707,0.029999999329447746,4.3625264167785645,10000,82.16009879112244,3.595468521118164
42,0.13899999856948853,83.26448822021484,0.030700000002980232,4.366535186767578,10000,82.23326182365417,3.710824489593506
43,0.12399999797344208,82.92008328437805,0.03669999912381172,4.356904029846191,10000,91.5259735584259,3.6756579875946045
44,0.12099999934434891,82.61639928817749,0.032499998807907104,4.3600945472717285,10000,82.3743371963501,3.6176815032958984
45,0.10400000214576721,82.79362726211548,0.03669999912381172,4.362045764923096,10000,82.2869713306427,3.749145269393921
46,0.12399999797344208,82.15094304084778,0.039500001817941666,4.333547115325928,10000,82.36418461799622,3.650129795074463
47,0.11699999868869781,82.01086664199829,0.04500000178813934,4.300863265991211,10000,82.22977590560913,3.685746431350708
48,0.13500000536441803,91.32656931877136,0.039799999445676804,4.326257228851318,10000,89.98531365394592,3.5934510231018066
49,0.08900000154972076,83.06147599220276,0.03480000048875809,4.303379058837891,10000,82.07702159881592,3.7719621658325195
50,0.11100000143051147,82.9323353767395,0.04190000146627426,4.354660987854004,10000,82.28124856948853,3.655198335647583
51,0.12600000202655792,82.39745926856995,0.033399999141693115,4.323262691497803,10000,82.12525510787964,3.673090934753418
52,0.13899999856948853,84.16928887367249,0.03480000048875809,4.304733753204346,10000,82.12274599075317,3.5856833457946777
53,0.10000000149011612,82.7353675365448,0.03689999878406525,4.291158676147461,10000,82.03361988067627,3.7903246879577637
54,0.11999999731779099,84.12570095062256,0.03880000114440918,4.288623332977295,10000,82.16738891601562,3.6298134326934814
55,0.14100000262260437,83.5868124961853,0.029200000688433647,4.349429130554199,10000,82.03834128379822,3.597334623336792
56,0.12800000607967377,82.83722114562988,0.04399999976158142,4.303771018981934,10000,82.27618193626404,3.6060256958007812
57,0.12800000607967377,82.34175062179565,0.03579999879002571,4.295196056365967,10000,82.25794053077698,3.592305898666382
58,0.12300000339746475,83.39750647544861,0.04340000078082085,4.298116683959961,10000,82.04044675827026,3.514183282852173
59,0.14300000667572021,83.87773728370667,0.03970000147819519,4.298013687133789,10000,82.12605047225952,3.585965871810913
60,0.09300000220537186,84.51793956756592,0.03359999880194664,4.314573287963867,10000,82.166255235672,3.719818353652954
61,0.1120000034570694,83.21872425079346,0.03700000047683716,4.317018985748291,10000,82.18436312675476,3.6720170974731445
62,0.13099999725818634,82.75184917449951,0.035599999129772186,4.297462463378906,10000,82.38568639755249,3.5469353199005127
63,0.11500000208616257,83.09045314788818,0.04410000145435333,4.300979137420654,10000,82.18137168884277,3.6150684356689453
64,0.13600000739097595,82.59949064254761,0.03689999878406525,4.32872200012207,10000,82.10054779052734,3.5775513648986816
65,0.14499999582767487,83.23026013374329,0.0414000004529953,4.265583038330078,10000,82.5409939289093,3.6265618801116943
66,0.12700000405311584,82.72101783752441,0.041200000792741776,4.299920558929443,10000,82.28400659561157,3.556999683380127
67,0.12800000607967377,83.62247490882874,0.04100000113248825,4.248372554779053,10000,82.2284209728241,3.5364174842834473
68,0.10599999874830246,82.42350649833679,0.03610000014305115,4.266998767852783,10000,82.41499996185303,3.637676477432251
69,0.12700000405311584,82.703542470932,0.03150000050663948,4.282902240753174,10000,82.31621599197388,3.4570107460021973
70,0.10599999874830246,83.11464262008667,0.04600000008940697,4.2437896728515625,10000,82.40935945510864,3.6307575702667236
71,0.15399999916553497,83.03975415229797,0.04259999841451645,4.261838436126709,10000,82.31250429153442,3.4490468502044678
72,0.13199999928474426,82.13643646240234,0.042399998754262924,4.272494316101074,10000,82.25437951087952,3.4842278957366943
73,0.17000000178813934,83.03523874282837,0.03720000013709068,4.295871257781982,10000,82.29970383644104,3.4454991817474365
74,0.13099999725818634,82.63981056213379,0.04360000044107437,4.250670909881592,10000,82.21172332763672,3.552295446395874
75,0.14399999380111694,82.42833948135376,0.057100001722574234,4.23292350769043,10000,82.07204008102417,3.524963140487671
76,0.15399999916553497,82.28662037849426,0.04699999839067459,4.25272274017334,10000,82.07209634780884,3.565594434738159
77,0.12700000405311584,82.85199928283691,0.04039999842643738,4.252722263336182,10000,82.28246688842773,3.5286026000976562
78,0.15800000727176666,81.84570455551147,0.05220000073313713,4.2314133644104,10000,82.20506930351257,3.573650598526001
79,0.13699999451637268,82.23125386238098,0.04600000008940697,4.248555660247803,10000,82.28808307647705,3.5134243965148926
80,0.11800000071525574,82.46378755569458,0.05169999971985817,4.234358310699463,10000,82.33476543426514,3.583409070968628
81,0.10700000077486038,82.9411838054657,0.04179999977350235,4.258388042449951,10000,82.29639267921448,3.5633044242858887
82,0.13300000131130219,82.89201521873474,0.0430000014603138,4.2491583824157715,10000,82.13852977752686,3.506412982940674
83,0.1679999977350235,84.12089610099792,0.05220000073313713,4.221349716186523,10000,82.36084985733032,3.361283779144287
84,0.11900000274181366,81.80847001075745,0.05429999902844429,4.207915306091309,10000,82.20634126663208,3.4692280292510986
85,0.12800000607967377,82.6258716583252,0.05169999971985817,4.2103271484375,10000,82.44779825210571,3.488816738128662
86,0.125,82.56852126121521,0.042100001126527786,4.244176864624023,10000,82.32762551307678,3.470496892929077
87,0.10700000077486038,82.64786458015442,0.05620000138878822,4.201176643371582,10000,82.09387826919556,3.599701404571533
88,0.1589999943971634,82.54994177818298,0.05290000140666962,4.233154296875,10000,82.17480397224426,3.5781378746032715
89,0.12600000202655792,81.2448787689209,0.051100000739097595,4.220484256744385,10000,82.06770396232605,3.591423273086548
90,0.0949999988079071,81.88371324539185,0.052799999713897705,4.2000627517700195,10000,82.16333389282227,3.60921049118042
91,0.11800000071525574,82.14876508712769,0.055799998342990875,4.243383407592773,10000,82.44172954559326,3.542614459991455
92,0.12300000339746475,81.99301648139954,0.05649999901652336,4.191928386688232,10000,82.16484260559082,3.5453739166259766
93,0.12300000339746475,82.90154433250427,0.05820000171661377,4.1974592208862305,10000,82.35035014152527,3.6761634349823
94,0.13899999856948853,82.73620200157166,0.056299999356269836,4.184878349304199,10000,82.04241633415222,3.4702413082122803
95,0.17399999499320984,81.9835307598114,0.06530000269412994,4.173495769500732,10000,81.94030165672302,3.4056196212768555
96,0.11900000274181366,82.4310986995697,0.051899999380111694,4.203451633453369,10000,82.18026804924011,3.573160171508789
97,0.15399999916553497,83.13817501068115,0.0551999993622303,4.195740699768066,10000,82.04942178726196,3.3821940422058105
98,0.17599999904632568,82.49609041213989,0.0430000014603138,4.21245813369751,10000,82.20307278633118,3.4876091480255127
99,0.14900000393390656,82.01580882072449,0.05590000003576279,4.187512397766113,10000,82.1456937789917,3.4722373485565186
100,0.13199999928474426,81.83007335662842,0.0494999997317791,4.194511890411377,10000,81.99374723434448,3.3965964317321777
101,0.1599999964237213,82.31268548965454,0.05209999904036522,4.247524738311768,10000,81.94163012504578,3.3172202110290527
102,0.1340000033378601,82.51936626434326,0.053199999034404755,4.191324234008789,10000,81.92779397964478,3.6064889430999756
103,0.15299999713897705,81.90768504142761,0.05299999937415123,4.22038459777832,10000,82.05723452568054,3.3599629402160645
104,0.1469999998807907,82.54781603813171,0.0471000000834465,4.234935760498047,10000,82.11400556564331,3.3900303840637207
105,0.14800000190734863,81.8034975528717,0.06560000032186508,4.153985023498535,10000,82.27082014083862,3.43410587310791
106,0.164000004529953,85.30098557472229,0.05350000038743019,4.212275981903076,10000,81.91594338417053,3.402735710144043
107,0.12600000202655792,82.26118636131287,0.05700000002980232,4.173205375671387,10000,82.13399076461792,3.570317268371582
108,0.125,82.68536972999573,0.05469999834895134,4.1855292320251465,10000,83.114981174469,3.4568979740142822
109,0.15299999713897705,82.62995624542236,0.054099999368190765,4.2251715660095215,10000,82.08747863769531,3.3055198192596436
110,0.14399999380111694,82.7562255859375,0.05999999865889549,4.139479160308838,10000,82.236976146698,3.5004875659942627
111,0.17499999701976776,81.5860755443573,0.05220000073313713,4.166896343231201,10000,82.17072939872742,3.2689573764801025
112,0.13500000536441803,81.30498194694519,0.05290000140666962,4.158724784851074,10000,82.40364718437195,3.45735502243042
113,0.13600000739097595,82.22637891769409,0.05249999836087227,4.191460132598877,10000,82.26686811447144,3.389347553253174
114,0.1420000046491623,82.08525490760803,0.04969999939203262,4.157398700714111,10000,82.0134584903717,3.428165912628174
115,0.13899999856948853,83.07165670394897,0.05559999868273735,4.16220760345459,10000,82.1128294467926,3.458198070526123
116,0.1459999978542328,81.74007749557495,0.053700000047683716,4.152768611907959,10000,81.92439436912537,3.3899214267730713
117,0.12399999797344208,82.5561683177948,0.06560000032186508,4.118752479553223,10000,82.78990983963013,3.6028101444244385
118,0.13500000536441803,84.71493339538574,0.05139999836683273,4.149525165557861,10000,82.93024611473083,3.4056272506713867
119,0.17299999296665192,82.34773564338684,0.04399999976158142,4.228745937347412,10000,82.67606973648071,3.337930202484131
120,0.13300000131130219,81.67232036590576,0.061000000685453415,4.127823829650879,10000,82.89892888069153,3.480074644088745
121,0.1340000033378601,81.5138292312622,0.05730000138282776,4.14299201965332,10000,82.92764472961426,3.4685733318328857
122,0.1459999978542328,83.02523183822632,0.055399999022483826,4.1331915855407715,10000,82.84898734092712,3.4783201217651367
123,0.15800000727176666,82.24877595901489,0.05739999935030937,4.144309043884277,10000,82.8612129688263,3.358867645263672
124,0.12099999934434891,82.32564496994019,0.06030000001192093,4.1504130363464355,10000,82.85443449020386,3.48132061958313
125,0.17499999701976776,81.69091463088989,0.05649999901652336,4.15897274017334,10000,82.6297824382782,3.3029520511627197
126,0.15399999916553497,81.75157427787781,0.06120000034570694,4.152607440948486,10000,82.7783260345459,3.4809675216674805
127,0.15700000524520874,82.29950547218323,0.06239999830722809,4.110559463500977,10000,83.02145504951477,3.3556723594665527
128,0.1289999932050705,83.76681399345398,0.06459999829530716,4.135201930999756,10000,85.24215722084045,3.457662343978882
129,0.17299999296665192,83.35325026512146,0.05950000137090683,4.140223503112793,10000,83.80705904960632,3.3080384731292725
130,0.17800000309944153,82.91685771942139,0.06610000133514404,4.115567207336426,10000,84.80709099769592,3.186760663986206
131,0.14499999582767487,83.23805642127991,0.06260000169277191,4.108846664428711,10000,83.12219905853271,3.402045488357544
132,0.14800000190734863,85.91928720474243,0.06620000302791595,4.123531341552734,10000,83.33717632293701,3.4644715785980225
133,0.14399999380111694,82.27831888198853,0.06279999762773514,4.137593746185303,10000,83.75423669815063,3.4002606868743896
134,0.15399999916553497,84.47682595252991,0.06340000033378601,4.099461078643799,10000,83.55497884750366,3.39103364944458
135,0.1420000046491623,83.3539035320282,0.05139999836683273,4.166842937469482,10000,83.24375033378601,3.3933260440826416
136,0.17499999701976776,82.37326765060425,0.052000001072883606,4.140722274780273,10000,83.34704780578613,3.2208638191223145
