"validation/loss","round_num","loss","validation/validation_time_in_seconds","validation/sparse_categorical_accuracy","train_step_time_in_seconds","train_steps_per_hour","sparse_categorical_accuracy"
1.3338180780410767,6,0.8190352916717529,180.927805185318,0.6409276723861694,190.39999222755432,18.907563797048383,0.7803786396980286
1.3505067825317383,7,0.5223288536071777,182.63027715682983,0.6560794115066528,221.0578203201294,16.28533202212248,0.8499764800071716
1.2765295505523682,8,0.6026622653007507,180.66995930671692,0.6689596176147461,214.98337626457214,16.745480802057983,0.8276132941246033
1.1598315238952637,9,0.5664149522781372,175.6244387626648,0.6919324398040771,212.49435019493103,16.94162690300966,0.8362470269203186
1.0905125141143799,10,0.5387002229690552,179.6574366092682,0.7035349607467651,200.2368929386139,17.978704858867555,0.8504562377929688
1.0598069429397583,11,0.49100714921951294,182.46125316619873,0.709949254989624,204.92102026939392,17.567743881361498,0.8542336821556091
1.0013355016708374,12,0.48593583703041077,180.4173469543457,0.7184027433395386,203.73878622055054,17.66968414204128,0.8561375737190247
1.0427935123443604,13,0.49905937910079956,177.08014607429504,0.7154214382171631,209.12001085281372,17.214995281029378,0.8554667830467224
1.0042871236801147,14,0.40015438199043274,184.2608106136322,0.7257333993911743,219.92154335975647,16.369474063352566,0.8821805119514465
1.0527170896530151,15,0.4364731013774872,176.38307905197144,0.7180284857749939,231.31121349334717,15.563447814014175,0.8741839528083801
0.9351685643196106,16,0.4698263108730316,180.32964158058167,0.7397364377975464,204.42120385169983,17.61069758013787,0.8614242076873779
0.9517560601234436,17,0.44845619797706604,179.84882521629333,0.7357614040374756,204.61533498764038,17.593989229680442,0.8678766489028931
0.9111068844795227,18,0.4153221547603607,176.39724946022034,0.7496612071990967,199.19294452667236,18.072929282482452,0.8766925930976868
0.994645893573761,19,0.30925607681274414,178.21134972572327,0.746357262134552,217.50610041618347,16.55125991000546,0.907468318939209
0.9547443985939026,20,0.35038167238235474,181.17066168785095,0.747660756111145,169.32426190376282,21.260981500962323,0.8960278630256653
0.9132060408592224,21,0.370863139629364,178.30296087265015,0.7497644424438477,223.89095616340637,16.079255998945072,0.8895490765571594
0.9187808632850647,22,0.3692392408847809,179.71598839759827,0.7516229152679443,218.66837191581726,16.463286246928867,0.892526388168335
0.8866568803787231,23,0.352897584438324,179.54505133628845,0.7499709725379944,181.94887900352478,19.78577730028367,0.8980838060379028
0.8766463398933411,24,0.3775829076766968,179.1760184764862,0.7583857178688049,229.57064867019653,15.681447174772746,0.8881059288978577
0.8814558386802673,25,0.39221975207328796,178.36723852157593,0.7627608776092529,227.43742203712463,15.828529745700209,0.8807640075683594
0.8409419655799866,26,0.35537949204444885,179.88231658935547,0.7685169577598572,207.20035481452942,17.374487622004587,0.8947679996490479
0.8278981447219849,27,0.36359840631484985,179.19944167137146,0.7677813172340393,219.34851145744324,16.412238114040964,0.8936781883239746
0.8392425775527954,28,0.3277130722999573,183.2464098930359,0.7677813172340393,191.4682638645172,18.80207156705279,0.9010244607925415
0.8071035742759705,29,0.40430447459220886,182.790762424469,0.7730340957641602,197.12589764595032,18.262440617852313,0.8806225061416626
0.8589958548545837,30,0.29198044538497925,179.02129197120667,0.768052339553833,236.7110846042633,15.208413268937225,0.9097388982772827
0.8564978837966919,31,0.40337085723876953,183.11381316184998,0.7591471672058105,176.89178824424744,20.351425217258907,0.8847299814224243
0.7922584414482117,32,0.3784066438674927,179.37466311454773,0.778493344783783,205.60222268104553,17.509538335997203,0.8856396675109863
0.7924004793167114,33,0.32904061675071716,177.3122661113739,0.773911714553833,190.29176115989685,18.918317735127907,0.9036319851875305
0.7823180556297302,34,0.3361203372478485,172.28847432136536,0.7769704461097717,185.51715850830078,19.405213129323137,0.89802485704422
0.8082548379898071,35,0.331232488155365,182.09917736053467,0.7722339034080505,205.48947095870972,17.519145789826723,0.9002400636672974
0.799358069896698,36,0.3405372202396393,181.29797959327698,0.7740278244018555,192.24140977859497,18.72645443115576,0.8974945545196533
0.7891260981559753,37,0.3422495722770691,173.52927899360657,0.7788031101226807,218.58953166007996,16.46922417857695,0.8992030024528503
0.8255964517593384,38,0.3410643935203552,178.2300353050232,0.7733438014984131,217.09728288650513,16.582427712289796,0.8962292075157166
0.8419581651687622,39,0.28421345353126526,177.59488248825073,0.770878791809082,221.3018171787262,16.26737658955866,0.914158821105957
0.7881434559822083,40,0.5423331260681152,177.5545563697815,0.7736793756484985,221.60562086105347,16.245075309967866,0.8518470525741577
0.7977738380432129,41,0.315002977848053,181.13700675964355,0.7780158519744873,216.53666710853577,16.625359797357337,0.9040547013282776
0.7762352228164673,42,0.3196001350879669,182.8228919506073,0.7855271697044373,194.02212762832642,18.554584696113885,0.9007088541984558
0.8444063663482666,43,0.25871098041534424,183.21838402748108,0.7734987139701843,240.6740505695343,14.957989826825584,0.9203322529792786
0.7663915157318115,44,0.2952630817890167,181.4692347049713,0.7855400443077087,218.7295982837677,16.45867787554549,0.9100677371025085
0.7991727590560913,45,0.30644410848617554,179.78144645690918,0.784275233745575,211.494313955307,17.02173421438059,0.9056185483932495
0.7788786888122559,46,0.3617779314517975,183.404438495636,0.7845979332923889,186.98316955566406,19.253069720418317,0.89353346824646
0.7287676930427551,47,0.3404422998428345,177.8640012741089,0.7895409464836121,173.46718788146973,20.75320436081481,0.9010029435157776
0.7459906339645386,48,0.25798019766807556,178.11918210983276,0.7848689556121826,199.12605094909668,18.079000627197097,0.9234763979911804
0.7505925297737122,49,0.2492426633834839,177.4704875946045,0.7862498760223389,216.60486793518066,16.620125089142988,0.9240266680717468
0.8326240181922913,50,0.298801988363266,180.73737263679504,0.7785062789916992,227.79288530349731,15.803829848344826,0.9098501205444336
0.7437774538993835,51,0.2800668179988861,179.2944622039795,0.7895409464836121,204.8089451789856,17.57735726266207,0.9166854023933411
0.8358128070831299,52,0.2552505433559418,185.29002285003662,0.7812681198120117,233.59121108055115,15.411538744745762,0.9201526045799255
0.8095734715461731,53,0.26366811990737915,180.29770255088806,0.7821715474128723,203.79859852790833,17.66449831354956,0.9233033657073975
0.8199945092201233,54,0.2524707317352295,175.6840615272522,0.7831007838249207,208.7098581790924,17.248825864808296,0.9221751689910889
0.934599757194519,55,0.25967708230018616,180.98560857772827,0.769601047039032,230.22106909751892,15.637143959552558,0.9228339791297913
