"train_step_time_in_seconds","validation/sparse_categorical_accuracy","loss","round_num","validation/validation_time_in_seconds","sparse_categorical_accuracy","train_steps_per_hour","validation/loss"
211.53788304328918,0.05016584321856499,3.6953988075256348,5,178.71466398239136,0.06485787779092789,17.01822835800666,3.8790476322174072
188.89618802070618,0.05016584321856499,3.67915678024292,6,179.43432664871216,0.07010900974273682,19.058087077995346,3.8417882919311523
216.8701422214508,0.05021746829152107,3.6702418327331543,7,181.47954320907593,0.08268235623836517,16.59979544959196,3.808593988418579
215.4891128540039,0.0503852441906929,3.6920459270477295,8,181.9428951740265,0.06868640333414078,16.706180429816133,3.780557870864868
204.96351218223572,0.054889459162950516,3.698514699935913,9,178.06725597381592,0.06674584001302719,17.564101832911575,3.75639009475708
191.19683980941772,0.07257075607776642,3.639486789703369,10,182.74783945083618,0.07546967267990112,18.828763088283406,3.7346720695495605
212.32502603530884,0.09349147230386734,3.524627447128296,11,175.67282128334045,0.10418006777763367,16.955137447628683,3.7150144577026367
214.6977710723877,0.11287637054920197,3.5753893852233887,12,175.24435663223267,0.09169311821460724,16.767756749492385,3.6969709396362305
208.92185616493225,0.12477575987577438,3.609200954437256,13,180.93529319763184,0.09805291891098022,17.231323070181798,3.6797890663146973
219.17304277420044,0.13422298431396484,3.531299352645874,14,173.066241979599,0.1224919855594635,16.425377657912257,3.661593437194824
238.76692914962769,0.14829058945178986,3.491328477859497,15,175.92990064620972,0.13043662905693054,15.077464927079554,3.641510486602783
202.28494215011597,0.18234968185424805,3.4301252365112305,16,182.10304617881775,0.1530737727880478,17.796678100381957,3.6187777519226074
210.3864710330963,0.22291341423988342,3.340883731842041,17,176.77687048912048,0.17135752737522125,17.11136644063808,3.5906429290771484
202.83959078788757,0.25195205211639404,3.0940234661102295,18,175.209725856781,0.2482241988182068,17.748014507505953,3.5555520057678223
222.67759585380554,0.276060551404953,2.8834102153778076,19,181.75878071784973,0.31794270873069763,16.166871149280357,3.51228404045105
149.6968638896942,0.2983364164829254,2.936283588409424,20,180.96724033355713,0.32898953557014465,24.048599993736005,3.4625983238220215
238.76061606407166,0.3155660033226013,2.625192403793335,21,174.8106071949005,0.39165613055229187,15.077863591346812,3.404162883758545
223.83287596702576,0.3352477252483368,2.5869312286376953,22,179.91748094558716,0.38294360041618347,16.08342824728901,3.3364310264587402
202.43433332443237,0.35569092631340027,2.3600363731384277,23,179.10295724868774,0.48820358514785767,17.783544623482634,3.2582104206085205
230.5193109512329,0.37870243191719055,2.3179547786712646,24,179.71467113494873,0.4602782726287842,15.616912896124314,3.1678895950317383
229.8499927520752,0.39895203709602356,2.251652956008911,25,180.68232488632202,0.4837653338909149,15.662389008134948,3.0643110275268555
209.17862486839294,0.417433500289917,2.0367281436920166,26,176.68826913833618,0.5319842100143433,17.21017146118529,2.9451816082000732
218.66362762451172,0.43454694747924805,1.9451872110366821,27,185.44042801856995,0.5527299046516418,16.463643446828318,2.8212997913360596
186.16057920455933,0.4487823247909546,1.8778072595596313,28,178.68245339393616,0.5684689879417419,19.338143528465295,2.696565628051758
209.47715950012207,0.46269503235816956,1.8776190280914307,29,178.34407758712769,0.56280118227005,17.18564452845706,2.5761027336120605
232.54510641098022,0.47574305534362793,1.5921117067337036,30,180.09071397781372,0.6246166825294495,15.480867585481114,2.460132360458374
174.99817633628845,0.4870874881744385,1.7543230056762695,31,176.56405520439148,0.5931098461151123,20.57164294719274,2.3510119915008545
203.14328002929688,0.49648308753967285,1.7291285991668701,32,181.27711009979248,0.5844908356666565,17.721482096187557,2.2504465579986572
185.25046563148499,0.5061626434326172,1.5053541660308838,33,178.25971865653992,0.6311138272285461,19.433149534756947,2.159207820892334
181.0291759967804,0.5152872204780579,1.5499956607818604,34,180.98712635040283,0.6322234869003296,19.886297223515097,2.0771448612213135
222.00221276283264,0.5242827534675598,1.511283278465271,35,174.18664956092834,0.6335093379020691,16.216054584311365,2.002657175064087
202.71071076393127,0.5339493751525879,1.507799506187439,36,176.8885521888733,0.6341503262519836,17.759298393425375,1.936145305633545
221.05674695968628,0.5421318411827087,1.3696588277816772,37,181.26565980911255,0.6559306383132935,16.285411096981925,1.8752950429916382
198.9614541530609,0.550675630569458,1.4557254314422607,38,183.8853940963745,0.634867787361145,18.09395701958693,1.8195041418075562
207.20877838134766,0.5587677359580994,1.22428297996521,39,177.78760433197021,0.6834378242492676,17.373781304644098,1.7670021057128906
228.89108729362488,0.5670146942138672,1.4085899591445923,40,178.25042009353638,0.6479791402816772,15.728004277343775,1.7181819677352905
218.20980024337769,0.5761134624481201,1.2329578399658203,41,171.45850586891174,0.6877887845039368,16.497884127957512,1.672937035560608
217.4378571510315,0.5842829942703247,1.1839045286178589,42,178.72722744941711,0.696455717086792,16.55645455289533,1.6312175989151
253.98907589912415,0.5916007161140442,0.9971156716346741,43,178.12328839302063,0.741930365562439,14.173837938722208,1.5926434993743896
216.420978307724,0.5989571809768677,1.1115425825119019,44,171.3305060863495,0.7149080634117126,16.63424695771056,1.5564594268798828
209.53262209892273,0.6062749028205872,1.1152007579803467,45,180.33795428276062,0.7155249118804932,17.181095544637433,1.5228232145309448
194.49341130256653,0.6128828525543213,1.188072919845581,46,178.89213728904724,0.6933025121688843,18.509624443779266,1.4906164407730103
176.0713245868683,0.6184840798377991,1.070028305053711,47,179.58410835266113,0.7315634489059448,20.446259539689372,1.4609023332595825
209.04095578193665,0.6239562034606934,0.9035717248916626,48,178.8412914276123,0.7637519836425781,17.221505644833442,1.433471441268921
204.04903149604797,0.6288992166519165,0.8920193910598755,49,181.13790035247803,0.7616291046142578,17.642818363829015,1.4077922105789185
234.81964302062988,0.6336357593536377,1.0210400819778442,50,178.86163473129272,0.7282227277755737,15.330915053319135,1.383664846420288
202.8818507194519,0.6388111114501953,0.9270778894424438,51,183.66450691223145,0.7534831166267395,17.744317627396523,1.3591854572296143
