"round_num","sparse_categorical_accuracy","train_step_time_in_seconds","validation/loss","train_steps_per_hour","validation/sparse_categorical_accuracy","loss","validation/validation_time_in_seconds"
1281,0.9142462015151978,85.80789279937744,0.5777443051338196,41.95418256473161,0.8351122140884399,0.27604907751083374,127.88142156600952
1282,0.8889667391777039,76.69454622268677,0.5811516642570496,46.93945237705958,0.8343249559402466,0.37870505452156067,130.24176931381226
1283,0.9291500449180603,76.18551564216614,0.5766246914863586,47.25307651534119,0.8343249559402466,0.2221464067697525,131.7887246608734
1284,0.9055117964744568,59.56360459327698,0.556469202041626,60.439592677141924,0.836312472820282,0.3133384585380554,132.8307909965515
1285,0.9302462935447693,85.24999690055847,0.5377647876739502,42.22874053824648,0.8375643491744995,0.22982224822044373,135.56640720367432
1286,0.9027513861656189,72.47645497322083,0.5199729204177856,49.67130361619034,0.8392679691314697,0.31482845544815063,132.70207452774048
1287,0.929847002029419,94.36223340034485,0.5179474949836731,38.150856230018434,0.8395389914512634,0.22912724316120148,134.99753642082214
1288,0.9082251191139221,73.06309580802917,0.5128536820411682,49.27248099996856,0.8406747579574585,0.2856593728065491,136.3581726551056
1289,0.9160202145576477,67.2759575843811,0.5040822625160217,53.5109440171801,0.8417201042175293,0.25658145546913147,138.8239541053772
1290,0.9063317775726318,72.78886270523071,0.5000951886177063,49.458115791405255,0.8421847224235535,0.3084356486797333,137.1158618927002
1291,0.9091238379478455,66.44568133354187,0.4946288764476776,54.17959343254887,0.8428687453269958,0.2915603220462799,132.79060983657837
1292,0.9343087673187256,77.64897203445435,0.49360883235931396,46.36249399931027,0.8428300619125366,0.19890019297599792,135.70298743247986
1293,0.9196834564208984,67.51729702949524,0.4961194097995758,53.319670045845044,0.8418620824813843,0.24594256281852722,136.06683588027954
1294,0.9204038381576538,79.63013911247253,0.49813371896743774,45.209013071234594,0.840790867805481,0.2505809962749481,130.33054876327515
1295,0.9065378308296204,61.854814291000366,0.49995332956314087,58.20080524473882,0.8386484980583191,0.30316340923309326,121.67114782333374
1296,0.9054911732673645,58.68978977203369,0.5034609436988831,61.3394597933189,0.8365576863288879,0.2873642146587372,121.65306997299194
1297,0.9143738150596619,55.17344069480896,0.5089887976646423,65.24878555088388,0.8346347212791443,0.27088168263435364,118.73933219909668
1298,0.9163825511932373,70.33002734184265,0.5096853971481323,51.1872401599109,0.8339248895645142,0.2560696601867676,120.36722826957703
1299,0.91285640001297,59.640732526779175,0.5122128129005432,60.36143165048435,0.8326729536056519,0.2745194733142853,118.5794677734375
1300,0.9180136322975159,63.1296706199646,0.51032954454422,57.02548365366426,0.8337957859039307,0.26864415407180786,120.11182856559753
1301,0.9189859628677368,55.63582706451416,0.504418671131134,64.70650639965349,0.8360801935195923,0.2438908964395523,122.07082843780518
1302,0.9005540013313293,63.29114270210266,0.5012757182121277,56.87999688904969,0.840545654296875,0.3173517882823944,115.68503785133362
1303,0.8970420360565186,64.24034452438354,0.5063182711601257,56.03955001570014,0.8419008255004883,0.313377320766449,119.72229361534119
1304,0.9244329929351807,65.31722378730774,0.5170372128486633,55.115630935611534,0.8413458466529846,0.25059863924980164,126.834543466568
1305,0.9091587066650391,61.802897930145264,0.5298330783843994,58.24969573544944,0.8402746319770813,0.2838221490383148,119.59634017944336
1306,0.908661425113678,53.27671456336975,0.5333620309829712,67.57173428398997,0.8399519920349121,0.29443591833114624,120.01718735694885
1307,0.9042589664459229,60.53564977645874,0.5044273734092712,59.46908992129093,0.8426106572151184,0.3106471598148346,121.10106897354126
1308,0.9313991665840149,65.10148072242737,0.48958852887153625,55.29828139162133,0.8437076807022095,0.21310563385486603,118.63014841079712
1309,0.9180447459220886,60.64913582801819,0.48573869466781616,59.357811959736146,0.8417330384254456,0.25391507148742676,119.43901014328003
1310,0.906609833240509,70.40172362327576,0.48677879571914673,51.13511168084231,0.8410360813140869,0.28822287917137146,117.92716717720032
1311,0.9068788290023804,64.7659330368042,0.4840275049209595,55.584777848475476,0.8424944877624512,0.3165212571620941,116.95661449432373
1312,0.9178773164749146,73.70502948760986,0.48428505659103394,48.84334251036662,0.8440303206443787,0.24248182773590088,118.81644201278687
1313,0.9191162586212158,69.25584816932678,0.48798269033432007,51.98116975187707,0.8441851735115051,0.2497936636209488,119.52224946022034
1314,0.910569965839386,62.42603278160095,0.49321019649505615,57.668248959447595,0.8446239829063416,0.2911425530910492,122.96272087097168
1315,0.9115498661994934,67.9668288230896,0.4946690499782562,52.96701438536166,0.8440690040588379,0.2765277922153473,119.38740348815918
1316,0.9157676100730896,50.45339632034302,0.4878299832344055,71.35297646054534,0.8435011506080627,0.2880939841270447,118.2806031703949
1317,0.9269614815711975,65.40221905708313,0.4859273433685303,55.04400388705337,0.8430365324020386,0.22607634961605072,118.77122068405151
1318,0.9060109257698059,61.55696368217468,0.48642924427986145,58.482416686228916,0.8424041271209717,0.2741744816303253,122.55168628692627
1319,0.849313497543335,55.765398025512695,0.48378318548202515,64.55616076393821,0.8414232730865479,0.6045340299606323,122.85938143730164
1320,0.9154929518699646,65.81934309005737,0.48095500469207764,54.69516757519589,0.8408941030502319,0.26045966148376465,116.755206823349
1321,0.9361538290977478,70.68458652496338,0.4803146719932556,50.93048112729078,0.8414748907089233,0.20407527685165405,119.4872727394104
1322,0.9153960943222046,66.18213391304016,0.482745498418808,54.395344893687025,0.8416684865951538,0.25807443261146545,122.10945987701416
1323,0.9188405871391296,56.351675033569336,0.49079662561416626,63.88452513355528,0.8411393761634827,0.2533237934112549,123.260000705719
1324,0.8322810530662537,67.53908562660217,0.4988482892513275,53.302468734963725,0.8404166102409363,0.6341421604156494,116.56689620018005
1325,0.9285927414894104,65.40331482887268,0.515027642250061,55.04308167589632,0.8393583297729492,0.21759650111198425,117.6074206829071
1326,0.8997635841369629,65.61863470077515,0.5299698710441589,54.86246424382666,0.8390614986419678,0.33439135551452637,120.64984107017517
1327,0.8974989056587219,68.76290678977966,0.5506155490875244,52.353807715049555,0.837693452835083,0.2973037362098694,121.2154905796051
1328,0.9184931516647339,62.22640132904053,0.5513527393341064,57.85325718843893,0.8374998569488525,0.2668309509754181,115.75923824310303
1329,0.9030038714408875,66.86917996406555,0.5470330715179443,53.83646101140441,0.8372804522514343,0.3134724795818329,115.44273209571838
