"validation/loss","train_step_time_in_seconds","round_num","validation/sparse_categorical_accuracy","sparse_categorical_accuracy","train_steps_per_hour","validation/validation_time_in_seconds","loss"
0.8581678867340088,46.441251277923584,47,0.7485641837120056,0.7584070563316345,77.51729122146423,171.9342701435089,0.9050188660621643
0.8525227904319763,48.2075080871582,48,0.7454022169113159,0.793852686882019,74.6771642602076,178.74517035484314,0.7600128054618835
0.8378452658653259,54.16923260688782,49,0.7474800944328308,0.7996926307678223,66.45839024757105,176.95195484161377,0.6920446157455444
0.8733740448951721,48.35115456581116,50,0.733515739440918,0.7447537183761597,74.4553058210846,183.74477910995483,0.8902806043624878
0.8108636140823364,50.921977519989014,51,0.7525134682655334,0.7786517143249512,70.69639034711189,170.10154557228088,0.7995976209640503
0.8607974052429199,60.5228374004364,52,0.7386523485183716,0.7874775528907776,59.481679224345854,176.56188988685608,0.7262110710144043
0.8169021010398865,53.75582981109619,53,0.7514422535896301,0.7831836342811584,66.969480568913,174.81510853767395,0.7788131833076477
0.8302624821662903,54.5551962852478,54,0.7470283508300781,0.7886064052581787,65.98821459970571,180.09488797187805,0.7323746681213379
0.8933854699134827,46.482715368270874,55,0.7327929735183716,0.7840375304222107,77.44814328246757,181.29448080062866,0.7473223805427551
0.8083012700080872,48.62074613571167,56,0.7515712976455688,0.75956130027771,74.04246717957747,169.03084635734558,0.902745246887207
0.8336295485496521,61.4299418926239,57,0.746396005153656,0.8101815581321716,58.60334372922896,175.0984275341034,0.6453301906585693
0.8044326305389404,51.222206592559814,58,0.7529264688491821,0.775631844997406,70.28201710706684,175.1142680644989,0.8218759894371033
0.7918626666069031,49.894365310668945,59,0.7567724585533142,0.7748292088508606,72.1524360032336,175.53422808647156,0.7729640603065491
0.7871260046958923,62.33316206932068,60,0.759379506111145,0.798475444316864,57.75416937771329,179.58318400382996,0.709303081035614
0.7912722826004028,48.4770028591156,61,0.7545784115791321,0.7845945954322815,74.26201678479092,166.61860942840576,0.7362151741981506
0.7766512632369995,50.444090604782104,62,0.7602312564849854,0.7744321227073669,71.36613936021119,176.47618079185486,0.7879893779754639
0.790397047996521,56.80373978614807,63,0.7572499513626099,0.7429328560829163,63.37610892439658,175.46399545669556,0.8994113802909851
0.7387565970420837,51.93468904495239,64,0.7714595198631287,0.7642461061477661,69.31783103358909,175.59023571014404,0.8044844269752502
