"train_steps_per_hour","round_num","validation/sparse_categorical_accuracy","train_step_time_in_seconds","sparse_categorical_accuracy","loss","validation/loss","validation/validation_time_in_seconds"
"",0.0,0.004400965292006731,"","","",4.137059688568115,18.991311073303223
461.8474160423514,1,0.053018081933259964,7.7947821617126465,0.04545454680919647,4.028854846954346,3.9969799518585205,17.413135766983032
1280.4384096558126,2,0.07648129016160965,2.811537027359009,0.061691541224718094,3.946971893310547,4.050897121429443,17.738690614700317
1249.4115281517977,3,0.05214047059416771,2.8813564777374268,0.06451612710952759,3.903820276260376,3.8817336559295654,17.75415802001953
1198.617526994604,4,0.06127795949578285,3.003460168838501,0.04443405196070671,3.8175418376922607,3.7578089237213135,17.900285720825195
1100.329541514492,5,0.05214047059416771,3.27174711227417,0.05478036031126976,3.7646028995513916,3.7515335083007812,17.59640336036682
1302.54820603345,6,0.05565091595053673,2.7638132572174072,0.06196213513612747,3.709899425506592,3.7126481533050537,17.600053071975708
1161.0764908202295,7,0.054889459162950516,3.1005709171295166,0.0658823549747467,3.7291276454925537,3.7429871559143066,17.63880205154419
1219.579805957548,8,0.05017874762415886,2.951836347579956,0.04949121177196503,3.7694852352142334,3.6875081062316895,17.49577808380127
1123.3428111427138,9,0.05016584321856499,3.2047207355499268,0.04845605790615082,3.7423534393310547,3.67777943611145,17.530115365982056
1218.1399863967124,10,0.10056399554014206,2.9553253650665283,0.05314009636640549,3.6827242374420166,3.6596899032592773,17.773264169692993
"",11,"","",0.10056399554014206,3.6596899032592773,"",""
