"loss","train_steps_per_hour","round_num","validation/sparse_categorical_accuracy","train_step_time_in_seconds","validation/validation_time_in_seconds","validation/loss","sparse_categorical_accuracy"
0.17062287032604218,14.851344896914059,762,0.8270201086997986,242.40228915214539,177.54489493370056,0.7756525278091431,0.9468443989753723
0.18770256638526917,17.536089350886037,763,0.8365190029144287,205.29092478752136,169.2356162071228,0.5794515609741211,0.943588376045227
0.15870456397533417,16.935882829108113,764,0.8410232067108154,212.5664210319519,176.498685836792,0.6108096837997437,0.949975311756134
0.17502202093601227,18.977755061468255,765,0.8446497917175293,189.69577741622925,169.77804493904114,0.5705413222312927,0.9461931586265564
0.14593133330345154,19.035772337443902,766,0.8408554196357727,189.1176221370697,174.1131420135498,0.6321241855621338,0.9530351161956787
0.16481320559978485,18.361347721549915,767,0.8451402187347412,196.06403923034668,181.04696559906006,0.5579531788825989,0.9496457576751709
0.2129548341035843,20.885804397679372,768,0.8409586548805237,172.36587738990784,167.45583295822144,0.5856580138206482,0.9386401176452637
0.15703734755516052,15.711456020496183,769,0.8468309044837952,229.13216924667358,177.00252413749695,0.5741061568260193,0.9510111212730408
0.1775401085615158,16.88191470882559,770,0.8410618901252747,213.2459535598755,180.60106921195984,0.6955944895744324,0.9431299567222595
0.1661488115787506,19.439513887941732,771,0.8368028998374939,185.1898159980774,156.26253867149353,0.5786951780319214,0.9480602145195007
0.19673576951026917,20.974815114322773,772,0.8392937779426575,171.63440918922424,162.1786243915558,0.6053928136825562,0.9403995275497437
0.16344304382801056,19.213514608589833,773,0.8409070372581482,187.36811423301697,156.39233875274658,0.6486158967018127,0.9480688571929932
0.16211360692977905,19.504932427794664,774,0.8364673256874084,184.56869888305664,162.4108545780182,0.7169520854949951,0.9479706883430481
0.18336890637874603,17.916392299374518,775,0.8459532856941223,200.9333095550537,166.23337483406067,0.5637860894203186,0.9394034743309021
0.1744977831840515,19.428642671028886,776,0.8389840126037598,185.29343819618225,164.02147436141968,0.6007394790649414,0.9445912837982178
0.1421801745891571,17.4054557729418,777,0.8372417092323303,206.83169960975647,156.44291520118713,0.7374413013458252,0.9529386758804321
0.15133784711360931,21.02360495930588,778,0.8392163515090942,171.2360942363739,166.79004335403442,0.6851845979690552,0.9543760418891907
0.1129767894744873,21.009296407355972,779,0.8409328460693359,171.3527159690857,159.6280152797699,0.7033141255378723,0.9643856883049011
0.1672075390815735,18.81563576909176,780,0.8398874402046204,191.3302342891693,160.48189449310303,0.7154228687286377,0.9492021203041077
0.146913081407547,18.38184256658597,781,0.8402230143547058,195.84543752670288,158.0134403705597,0.6426242589950562,0.9530740976333618
0.19642330706119537,17.93217905684622,782,0.8393325209617615,200.7564160823822,159.38722920417786,0.6849542260169983,0.9373458027839661
0.21216095983982086,19.388514717545196,783,0.8463276028633118,185.67693567276,161.6475236415863,0.5437666177749634,0.9314600825309753
0.1423501968383789,17.150399001832437,784,0.8264909982681274,209.90765285491943,157.1649694442749,0.8512856364250183,0.9543161392211914
0.1737910360097885,22.217062328815484,785,0.837654709815979,162.03762435913086,173.92358827590942,0.5567231178283691,0.9484975934028625
0.158676877617836,18.278100159317134,786,0.8432946801185608,196.95701241493225,170.1824014186859,0.5699945092201233,0.9526044726371765
0.1449136734008789,19.235963281357456,787,0.8354994058609009,187.14945268630981,174.13598322868347,0.5801541209220886,0.9554107785224915
0.13400858640670776,17.497840592771688,788,0.8420427441596985,205.73967289924622,179.87191486358643,0.5851549506187439,0.9591240882873535
0.17593231797218323,15.992246072495087,789,0.8290334939956665,225.10909247398376,199.45001411437988,0.5795255303382874,0.9480434656143188
0.15718130767345428,16.059636622005414,790,0.8443271517753601,224.1644742488861,202.5296540260315,0.571968138217926,0.9539560079574585
0.1955711543560028,15.944459436199377,791,0.8446239829063416,225.7837598323822,205.0458426475525,0.6269338130950928,0.9417886137962341
0.15226364135742188,14.291500901316587,792,0.8387129902839661,251.89796543121338,202.0681610107422,0.7144114971160889,0.9529164433479309
0.15599247813224792,15.40288796457835,793,0.8470761179924011,233.72240376472473,204.4062056541443,0.6074878573417664,0.9505729079246521
