"validation/sparse_categorical_accuracy","sparse_categorical_accuracy","train_steps_per_hour","round_num","loss","validation/loss","validation/validation_time_in_seconds","train_step_time_in_seconds"
0.7380973696708679,0.827235221862793,32.68367017299297,22,0.6048904657363892,0.9008225202560425,184.1051847934723,110.14674854278564
0.730689287185669,0.8383233547210693,38.85753838351356,23,0.575680673122406,0.923726499080658,182.09583139419556,92.64611577987671
0.7476865649223328,0.8169658780097961,28.651024487355386,24,0.6200663447380066,0.8597010970115662,174.93479418754578,125.6499571800232
0.7471316456794739,0.8258299231529236,28.41944526942541,25,0.604315996170044,0.8807998895645142,177.4738712310791,126.67383074760437
0.7558302879333496,0.8355380296707153,33.328890141851865,26,0.5670382976531982,0.8502174615859985,179.4717481136322,108.01439785957336
0.7517004013061523,0.8244252800941467,29.921326727357723,27,0.6054297685623169,0.8244182467460632,179.6464240550995,120.31552052497864
0.7591859102249146,0.8413204550743103,35.256491296968264,28,0.5455586314201355,0.8112757802009583,177.18131494522095,102.10885620117188
0.7604635953903198,0.8205823302268982,31.144448548407237,29,0.6357845664024353,0.8160444498062134,176.64153337478638,115.59042358398438
0.7533265352249146,0.8613344430923462,29.197495605566928,30,0.4585392475128174,0.8405508995056152,182.39711046218872,123.29824614524841
0.749286949634552,0.8273122310638428,36.41478662323473,31,0.6168243288993835,0.8480868339538574,177.56471991539001,98.8609390258789
0.7653549909591675,0.8197389245033264,29.40927844449297,32,0.6091951727867126,0.788669228553772,176.47582721710205,122.41034770011902
0.7623220682144165,0.8462469577789307,36.716356770603866,33,0.5375455021858215,0.7962589859962463,173.05773973464966,98.04894375801086
0.7673038244247437,0.8399548530578613,36.87928725689642,34,0.5279817581176758,0.7716768980026245,177.13552904129028,97.6157693862915
0.7558819651603699,0.8438790440559387,32.37712255065888,35,0.5256907343864441,0.7980943918228149,175.3470048904419,111.18962144851685
0.7641547322273254,0.8395425081253052,32.37003486742509,36,0.5312843918800354,0.7782307863235474,174.02541661262512,111.21396732330322
