"train_step_time_in_seconds","train_steps_per_hour","validation/loss","validation/sparse_categorical_accuracy","round_num","validation/validation_time_in_seconds","loss","sparse_categorical_accuracy"
"","",4.13706111907959,0.004400965292006731,0.0,179.53744173049927,"",""
279.68200063705444,12.871761471242294,4.09325647354126,0.00485267722979188,1,181.43579745292664,3.7623448371887207,0.06523210555315018
194.22539019584656,18.535166779018702,4.033753395080566,0.05197269096970558,2,177.13378357887268,3.7785351276397705,0.06950248777866364
216.07349014282227,16.6609980595974,3.9738407135009766,0.0556638240814209,3,184.74382162094116,3.709482192993164,0.07263267785310745
220.64522528648376,16.31578474143636,3.9225125312805176,0.0562962181866169,4,196.79111647605896,3.7467386722564697,0.06800748407840729
215.1332094669342,16.73381812561727,3.8795933723449707,0.07582308351993561,5,191.0073926448822,3.7012431621551514,0.06144702807068825
196.56582140922546,18.31447590527577,3.841852903366089,0.09555644541978836,6,193.53275680541992,3.690126895904541,0.07091221958398819
233.0724594593048,15.445840355190363,3.809871196746826,0.09900236129760742,7,183.58881759643555,3.6688246726989746,0.08202353119850159
225.22951221466064,15.98369576260916,3.7830593585968018,0.10016390681266785,8,173.53700733184814,3.6935653686523438,0.06914893537759781
210.53174591064453,17.09955894978394,3.7603793144226074,0.10162229090929031,9,176.23187112808228,3.697155475616455,0.06726840883493423
190.65851283073425,18.88192636431641,3.7400975227355957,0.10271930694580078,10,169.98964595794678,3.6488053798675537,0.07342994958162308
200.61409330368042,17.944900782969842,3.721999168395996,0.10869481414556503,11,179.07763719558716,3.5396101474761963,0.09817791730165482
197.96000170707703,18.185491861769876,3.7050042152404785,0.11750964820384979,12,177.30485820770264,3.5882112979888916,0.08814814686775208
219.81216764450073,16.377619303687645,3.688234329223633,0.125717893242836,13,174.57353115081787,3.6109678745269775,0.09246131032705307
211.73435187339783,17.002437101715763,3.6711504459381104,0.13548777997493744,14,177.03255772590637,3.5504631996154785,0.11090242862701416
235.97695636749268,15.255726895611078,3.6519336700439453,0.14968444406986237,15,180.6761360168457,3.516711711883545,0.127426877617836
217.2753496170044,16.568837681521593,3.630345582962036,0.18831227719783783,16,190.55976486206055,3.4536612033843994,0.13954918086528778
206.85606455802917,17.40340563711196,3.6046693325042725,0.22324897348880768,17,195.30883932113647,3.361971378326416,0.16459472477436066
206.85498666763306,17.4034963236557,3.572507858276367,0.24557645618915558,18,184.60614013671875,3.1328022480010986,0.23412874341011047
235.41973972320557,15.291835783323418,3.532703161239624,0.2676199972629547,19,179.54301977157593,2.9364893436431885,0.30338186025619507
165.41204643249512,21.763832064487303,3.4849119186401367,0.29118645191192627,20,187.99961066246033,2.990520477294922,0.30989545583724976
239.0853455066681,15.057384602016924,3.4282846450805664,0.3140430748462677,21,188.04788613319397,2.6784775257110596,0.3770754337310791
221.5437502861023,16.24961207594865,3.362586736679077,0.3357381522655487,22,178.02436518669128,2.625369071960449,0.38129299879074097
181.093683719635,19.879213488049842,3.287584066390991,0.35569092631340027,23,176.73582124710083,2.4067046642303467,0.47347304224967957
218.88657760620117,16.446874172781666,3.200282335281372,0.37761831283569336,24,169.27964043617249,2.3588685989379883,0.45130160450935364
224.08389949798584,16.065411250273062,3.0920846462249756,0.3944348990917206,25,170.57522106170654,2.2812259197235107,0.4783083200454712
