"stat/num_examples","round_num","sparse_categorical_accuracy","validation/stat/num_examples","loss","eval/sparse_categorical_accuracy","validation/eval/loss","validation/eval/sparse_categorical_accuracy","round_time_in_seconds","validation/validation_time_in_seconds","eval/loss"
"",0.0,"",77483.0,"","",4.154823303222656,0.003936347551643848,"",19.48697829246521,""
"",1.0,0.049376681447029114,77483.0,14.156801223754883,"",15.221111297607422,0.05565091595053673,19.85350799560547,18.294400215148926,""
"",2.0,0.05537620931863785,77483.0,15.225543022155762,"",15.221111297607422,0.05565091595053673,5.438565254211426,18.181629180908203,""
"",3.0,0.057518698275089264,77483.0,15.191008567810059,"",15.221111297607422,0.05565091595053673,5.344426870346069,18.304293155670166,""
"",4.0,0.051424432545900345,77483.0,15.289237976074219,"",15.221111297607422,0.05565091595053673,5.524896621704102,18.39275884628296,""
"",5.0,0.0542672723531723,77483.0,15.243416786193848,"",15.221111297607422,0.05565091595053673,5.492071628570557,18.365562677383423,""
"",6.0,0.05818379670381546,77483.0,15.180288314819336,"",15.221111297607422,0.05565091595053673,5.120364427566528,18.203149795532227,""
"",7.0,0.05071951076388359,77483.0,15.300597190856934,"",15.221111297607422,0.05565091595053673,5.767517566680908,18.24408793449402,""
"",8.0,0.05710659921169281,77483.0,15.197652816772461,"",15.221111297607422,0.05565091595053673,5.589761972427368,18.303396224975586,""
"",9.0,0.051983583718538284,77483.0,15.280223846435547,"",15.221111297607422,0.05565091595053673,5.690641403198242,18.480457544326782,""
"",10.0,0.05427922308444977,77483.0,15.243223190307617,"",15.221111297607422,0.05565091595053673,5.33173394203186,18.210297346115112,""
"",11.0,0.057598356157541275,77483.0,15.189725875854492,"",15.221111297607422,0.05565091595053673,5.385217905044556,18.220507383346558,""
"",12.0,0.04991680383682251,77483.0,15.313536643981934,"",15.221111297607422,0.05565091595053673,5.544379234313965,18.270031452178955,""
"",13.0,0.0519542433321476,77483.0,15.280696868896484,"",15.221111297607422,0.05565091595053673,5.5595221519470215,18.263097763061523,""
"",14.0,0.049511853605508804,77483.0,15.32006549835205,"",15.221111297607422,0.05565091595053673,5.5477142333984375,18.151585340499878,""
"",15.0,0.04626026749610901,77483.0,15.372475624084473,"",15.221111297607422,0.05565091595053673,5.934954643249512,18.1957905292511,""
"",16.0,0.05627376586198807,77483.0,15.211074829101562,"",15.221111297607422,0.05565091595053673,5.316289663314819,18.39561152458191,""
"",17.0,0.05399515852332115,77483.0,15.247801780700684,"",15.221111297607422,0.05565091595053673,5.6268370151519775,18.300336837768555,""
"",18.0,0.0689343735575676,77483.0,15.00700855255127,"",15.221111297607422,0.05565091595053673,4.871691703796387,20.58685564994812,""
"",19.0,0.05858687311410904,77483.0,15.173791885375977,"",15.221111297607422,0.05565091595053673,5.377918243408203,18.211018085479736,""
"",20.0,0.056830599904060364,77483.0,15.20210075378418,"",15.221111297607422,0.05565091595053673,5.13741135597229,18.203249216079712,""
"",21.0,0.051189616322517395,77483.0,15.293023109436035,"",15.221111297607422,0.05565091595053673,5.449558973312378,18.526193618774414,""
"",22.0,0.05446365103125572,77483.0,15.240249633789062,"",15.221111297607422,0.05565091595053673,5.470882892608643,18.366875410079956,""
"",23.0,0.06904979795217514,77483.0,15.005148887634277,"",15.221111297607422,0.05565091595053673,4.684313058853149,18.23786425590515,""
"",24.0,0.05445052310824394,77483.0,15.240461349487305,"",15.221111297607422,0.05565091595053673,5.478153228759766,18.13357448577881,""
"",25.0,0.048470012843608856,77483.0,15.3368558883667,"",15.221111297607422,0.05565091595053673,5.602642774581909,18.367448806762695,""
"",26.0,0.05974683538079262,77483.0,15.155095100402832,"",15.221111297607422,0.05565091595053673,5.271056890487671,18.283158540725708,""
