"validation/stat/num_examples","loss","validation/validation_time_in_seconds","sparse_categorical_accuracy","validation/eval/sparse_categorical_accuracy","train_step_time_in_seconds","train_steps_per_hour","eval/sparse_categorical_accuracy","eval/loss","validation/eval/loss","round_num","stat/num_examples"
10000.0,"",56.23294401168823,"",0.010999999940395355,"","","","",4.615626811981201,0.0,""
10000.0,3.9624335765838623,53.512295961380005,0.12099999934434891,0.009999999776482582,113.3690299987793,31.75470408487012,"","",4.769664287567139,1.0,""
10000.0,3.719745635986328,53.475236654281616,0.10849999636411667,0.009999999776482582,92.71680021286011,38.82791459298731,"","",4.9139838218688965,2.0,""
10000.0,3.642564535140991,53.49540185928345,0.11400000005960464,0.009999999776482582,91.55055356025696,39.3225366751119,"","",5.348989486694336,3.0,""
10000.0,3.686613082885742,53.54694128036499,0.12349999696016312,0.010300000198185444,91.34366965293884,39.411598129112114,"","",4.809874534606934,4.0,""
10000.0,3.785630464553833,53.43303155899048,0.0989999994635582,0.01510000042617321,91.20468044281006,39.47165849955893,"","",5.223939418792725,5.0,""
10000.0,3.6165947914123535,53.685970306396484,0.13099999725818634,0.009999999776482582,91.43065452575684,39.374102905342845,"","",4.849304676055908,6.0,""
10000.0,3.744626760482788,53.45995211601257,0.10499999672174454,0.009999999776482582,91.17908573150635,39.48273851528698,"","",4.863260746002197,7.0,""
10000.0,3.5533266067504883,53.680081605911255,0.12849999964237213,0.017000000923871994,90.91643261909485,39.59680220937205,"","",4.974643230438232,8.0,""
10000.0,3.483766794204712,53.53958058357239,0.1445000022649765,0.009999999776482582,91.05760264396667,39.5354137981858,"","",5.242463111877441,9.0,""
10000.0,3.5586581230163574,53.63071823120117,0.14100000262260437,0.010700000450015068,91.38037252426147,39.39576848457474,"","",5.101756572723389,10.0,""
10000.0,3.582566976547241,53.45455884933472,0.11349999904632568,0.015200000256299973,91.65432405471802,39.27801592700399,"","",5.313448429107666,11.0,""
10000.0,3.323349952697754,53.71522665023804,0.14499999582767487,0.013299999758601189,91.0167407989502,39.55316316975309,"","",5.113369941711426,12.0,""
10000.0,3.442004442214966,53.50464415550232,0.13650000095367432,0.01080000028014183,92.15424537658691,39.064939279668074,"","",4.672235488891602,13.0,""
10000.0,3.3764731884002686,53.593648195266724,0.15299999713897705,0.015300000086426735,91.267653465271,39.44442377243615,"","",4.994220733642578,14.0,""
10000.0,3.5306875705718994,53.5083532333374,0.1459999978542328,0.016599999740719795,91.31331062316895,39.42470134344873,"","",5.230761528015137,15.0,""
10000.0,3.568955421447754,53.458505153656006,0.11999999731779099,0.014499999582767487,93.8308310508728,38.36692012296222,"","",4.986875057220459,16.0,""
10000.0,3.6557586193084717,53.49542164802551,0.10700000077486038,0.019999999552965164,91.58850812911987,39.306241290935574,"","",4.929657459259033,17.0,""
10000.0,3.51480770111084,53.51171922683716,0.1509999930858612,0.032600000500679016,91.21558213233948,39.466941018662425,"","",4.558107376098633,18.0,""
10000.0,3.2816529273986816,53.529316425323486,0.16349999606609344,0.011699999682605267,148.74458289146423,24.202562069953455,"","",5.113354206085205,19.0,""
