"round_num","stat/num_examples","eval/loss","round_time_in_seconds","eval/mean_squared_error","validation/eval/mean_absolute_error","validation/eval/mean_squared_error","validation/eval/loss","mean_absolute_error","validation/stat/num_examples","mean_squared_error","eval/mean_absolute_error","validation/validation_time_in_seconds","loss"
81.0,"","",1.8026037216186523,"",0.04564680904150009,0.01695786789059639,0.01695786789059639,0.042468104511499405,77483.0,0.014847306534647942,"",7.580278158187866,0.014847306534647942
82.0,"","",1.715494155883789,"",0.046739231795072556,0.016865193843841553,0.016865193843841553,0.04653753712773323,77483.0,0.017315514385700226,"",7.6260082721710205,0.017315514385700226
83.0,"","",1.844482183456421,"",0.046784427016973495,0.01694941706955433,0.01694941706955433,0.04608507081866264,77483.0,0.016738880425691605,"",7.480975866317749,0.016738880425691605
84.0,"","",1.878065824508667,"",0.04583160951733589,0.01690477877855301,0.01690477877855301,0.04395231232047081,77483.0,0.015191764570772648,"",7.684236288070679,0.015191764570772648
85.0,"","",1.80466890335083,"",0.046701908111572266,0.016845902428030968,0.016845902428030968,0.04634356498718262,77483.0,0.017100229859352112,"",7.505597114562988,0.017100229859352112
86.0,"","",1.8215527534484863,"",0.046538714319467545,0.016858186572790146,0.016858186572790146,0.04572337120771408,77483.0,0.016556594520807266,"",7.571253538131714,0.016556594520807266
87.0,"","",1.7849361896514893,"",0.045611750334501266,0.016898177564144135,0.016898177564144135,0.043482281267642975,77483.0,0.014888017438352108,"",7.549484729766846,0.014888017438352108
88.0,"","",1.7428932189941406,"",0.04523563012480736,0.016972769051790237,0.016972769051790237,0.04161730036139488,77483.0,0.013902872800827026,"",7.4921486377716064,0.013902872800827026
89.0,"","",1.885725498199463,"",0.04487811028957367,0.016992181539535522,0.016992181539535522,0.041335366666316986,77483.0,0.013999375514686108,"",7.596801280975342,0.013999375514686108
90.0,"","",1.9107837677001953,"",0.047273628413677216,0.01700756698846817,0.01700756698846817,0.04770499840378761,77483.0,0.018279384821653366,"",7.550645112991333,0.018279384821653366
91.0,"","",1.6830852031707764,"",0.04819590970873833,0.017034990713000298,0.017034990713000298,0.050111424177885056,77483.0,0.019194437190890312,"",7.583066940307617,0.019194437190890312
92.0,"","",1.882047176361084,"",0.04752391204237938,0.016885869204998016,0.016885869204998016,0.048081088811159134,77483.0,0.017615627497434616,"",7.686456203460693,0.017615627497434616
93.0,"","",1.930605173110962,"",0.04681394621729851,0.016941387206315994,0.016941387206315994,0.04610200226306915,77483.0,0.016695912927389145,"",7.587671279907227,0.016695912927389145
94.0,"","",1.8092772960662842,"",0.04628822207450867,0.01682423986494541,0.01682423986494541,0.04642917960882187,77483.0,0.016979724168777466,"",7.539250612258911,0.016979724168777466
95.0,"","",1.97100830078125,"",0.045424818992614746,0.016845595091581345,0.016845595091581345,0.042726069688797,77483.0,0.014597381465137005,"",7.603769302368164,0.014597381465137005
96.0,"","",1.9333934783935547,"",0.04635125398635864,0.016885394230484962,0.016885394230484962,0.04595993459224701,77483.0,0.017095696181058884,"",7.5299577713012695,0.017095696181058884
97.0,"","",1.7928557395935059,"",0.048630837351083755,0.01723822019994259,0.01723822019994259,0.05034390091896057,77483.0,0.0195766668766737,"",7.491069316864014,0.0195766668766737
98.0,"","",1.769275188446045,"",0.046405259519815445,0.016844844445586205,0.016844844445586205,0.04572933539748192,77483.0,0.0158567912876606,"",7.531362533569336,0.0158567912876606
99.0,"","",2.021779775619507,"",0.0449044406414032,0.017063282430171967,0.017063282430171967,0.040961213409900665,77483.0,0.013462243601679802,"",7.647773027420044,0.013462243601679802
100.0,"","",1.6608221530914307,"",0.04663342610001564,0.01688569039106369,0.01688569039106369,0.046053674072027206,77483.0,0.017160892486572266,"",7.516960859298706,0.017160892486572266
101.0,"","",1.7693593502044678,"",0.046869177371263504,0.016883373260498047,0.016883373260498047,0.04837780073285103,77483.0,0.018225574865937233,"",7.480907201766968,0.018225573003292084
102.0,"","",1.7544856071472168,"",0.0449402816593647,0.017037058249115944,0.017037058249115944,0.041025351732969284,77483.0,0.013425566256046295,"",7.6709277629852295,0.013425566256046295
103.0,"","",1.8223938941955566,"",0.046895626932382584,0.01696729101240635,0.01696729101240635,0.04777739569544792,77483.0,0.018723592162132263,"",7.556731700897217,0.018723592162132263
104.0,"","",1.7533087730407715,"",0.04732933267951012,0.0169792752712965,0.0169792752712965,0.04732508957386017,77483.0,0.017661016434431076,"",7.806982755661011,0.017661016434431076
105.0,"","",1.7378301620483398,"",0.04671788960695267,0.016897326335310936,0.016897326335310936,0.04698183387517929,77483.0,0.01721775159239769,"",7.635967969894409,0.01721775159239769
106.0,"","",1.729795217514038,"",0.04472919926047325,0.016960615292191505,0.016960615292191505,0.04118090495467186,77483.0,0.013735158368945122,"",7.571897745132446,0.013735158368945122
107.0,"","",1.6075129508972168,"",0.04668410122394562,0.01705189049243927,0.01705189049243927,0.04731128737330437,77483.0,0.01817561499774456,"",7.577785015106201,0.01817561499774456
108.0,"","",1.8645288944244385,"",0.04550539329648018,0.016888799145817757,0.016888799145817757,0.044218383729457855,77483.0,0.015720991417765617,"",7.557220935821533,0.015720991417765617
109.0,"","",1.8895480632781982,"",0.045174356549978256,0.01692076213657856,0.01692076213657856,0.04305318742990494,77483.0,0.015283613465726376,"",7.526072025299072,0.015283613465726376
110.0,"","",1.76100754737854,"",0.04401368275284767,0.0170789435505867,0.0170789435505867,0.03896660357713699,77483.0,0.01265560369938612,"",7.545084238052368,0.01265560369938612
111.0,"","",1.7825655937194824,"",0.04452543705701828,0.016921261325478554,0.016921261325478554,0.04208119213581085,77483.0,0.015422537922859192,"",7.548925399780273,0.015422537922859192
112.0,"","",1.7281267642974854,"",0.045289091765880585,0.017034459859132767,0.017034459859132767,0.04555702954530716,77483.0,0.017587604001164436,"",7.7048046588897705,0.017587604001164436
113.0,"","",1.8230657577514648,"",0.04478403180837631,0.016910133883357048,0.016910133883357048,0.042306311428546906,77483.0,0.014680813997983932,"",7.531562566757202,0.014680813997983932
114.0,"","",1.801659107208252,"",0.04416520521044731,0.01701478473842144,0.01701478473842144,0.04005490988492966,77483.0,0.013586590997874737,"",7.537949323654175,0.013586590997874737
115.0,"","",1.9968864917755127,"",0.04413500428199768,0.016945315524935722,0.016945315524935722,0.040315598249435425,77483.0,0.013883487321436405,"",7.6825878620147705,0.013883487321436405
