"validation/stat/num_examples","eval/loss","eval/sparse_categorical_accuracy","validation/eval/loss","validation/eval/sparse_categorical_accuracy","round_time_in_seconds","stat/num_examples","validation/validation_time_in_seconds","loss","round_num","sparse_categorical_accuracy"
77483.0,"","",4.130570411682129,0.0312584713101387,"","",19.608035802841187,"",0.0,""
77483.0,"","",4.038732528686523,0.0512886680662632,79.03807473182678,"",18.44046640396118,4.048511981964111,1.0,0.05047237500548363
77483.0,"","",3.9517366886138916,0.052088845521211624,27.659656047821045,"",18.40887188911438,3.971733570098877,2.0,0.05562536418437958
77483.0,"","",3.891444683074951,0.062052320688962936,26.35726523399353,"",18.508530378341675,3.8825433254241943,3.0,0.056723322719335556
77483.0,"","",3.825962543487549,0.0934656634926796,27.48805594444275,"",18.5752854347229,3.8518853187561035,4.0,0.0549599789083004
77483.0,"","",3.7444443702697754,0.0868319496512413,26.312623739242554,"",18.340843677520752,3.7774834632873535,5.0,0.059011079370975494
77483.0,"","",3.7197303771972656,0.05568963661789894,27.34067392349243,"",18.369298934936523,3.7577619552612305,6.0,0.053885504603385925
77483.0,"","",3.6992714405059814,0.06762773543596268,27.174368381500244,"",18.483275413513184,3.741156816482544,7.0,0.05688495934009552
77483.0,"","",3.6809041500091553,0.07770736515522003,25.806089401245117,"",18.363059997558594,3.6941168308258057,8.0,0.06307917088270187
77483.0,"","",3.671529531478882,0.1563052535057068,27.38880491256714,"",18.423131942749023,3.707883596420288,9.0,0.05859030783176422
77483.0,"","",3.6595470905303955,0.15017487108707428,26.84150528907776,"",18.347530603408813,3.6998894214630127,10.0,0.061118993908166885
77483.0,"","",3.644737482070923,0.13715267181396484,25.9481303691864,"",18.417893886566162,3.6734039783477783,11.0,0.0664520189166069
77483.0,"","",3.638157367706299,0.2179574817419052,26.80245804786682,"",18.420748472213745,3.6901094913482666,12.0,0.06850679963827133
77483.0,"","",3.6007280349731445,0.2390718013048172,26.767985820770264,"",18.39781928062439,3.638533353805542,13.0,0.0778653547167778
77483.0,"","",3.5598676204681396,0.2697494924068451,27.516374588012695,"",18.454830169677734,3.6167001724243164,14.0,0.08809706568717957
77483.0,"","",3.4823732376098633,0.28998619318008423,26.946574449539185,"",18.41910481452942,3.5493242740631104,15.0,0.11146900802850723
77483.0,"","",3.3780064582824707,0.29268354177474976,26.31737494468689,"",18.40953254699707,3.466013193130493,16.0,0.14199380576610565
77483.0,"","",3.22660493850708,0.33102744817733765,25.55881929397583,"",18.38010311126709,3.318577527999878,17.0,0.1888299286365509
77483.0,"","",3.039027690887451,0.3597821593284607,26.454654693603516,"",18.53001594543457,3.2100794315338135,18.0,0.21592681109905243
77483.0,"","",2.831949234008789,0.3874785304069519,25.519979000091553,"",18.45701289176941,2.998558521270752,19.0,0.2763380706310272
77483.0,"","",2.743973970413208,0.3999199867248535,26.41832995414734,"",18.431835889816284,2.930510997772217,20.0,0.2934386730194092
77483.0,"","",2.543661594390869,0.4313591420650482,27.012267589569092,"",18.372228145599365,2.788041353225708,21.0,0.3286483883857727
77483.0,"","",2.419968605041504,0.4565388560295105,27.199588537216187,"",18.512942790985107,2.6483075618743896,22.0,0.3615490198135376
