"round_num","validation/eval/loss","validation/eval/sparse_categorical_accuracy","validation/stat/num_examples","loss","validation/validation_time_in_seconds","sparse_categorical_accuracy","eval/sparse_categorical_accuracy","eval/loss","stat/num_examples","round_time_in_seconds"
64.0,4.542886734008789,0.0364999994635582,10000.0,3.4161386489868164,11.049540758132935,0.16050000488758087,"","","",13.991550207138062
65.0,4.4629998207092285,0.03060000017285347,10000.0,3.5329835414886475,10.224002361297607,0.14550000429153442,"","","",14.051193237304688
66.0,4.823575973510742,0.020099999383091927,10000.0,3.465461254119873,10.066382884979248,0.13950000703334808,"","","",14.026430130004883
67.0,4.342073440551758,0.0430000014603138,10000.0,3.5732901096343994,10.589987516403198,0.13950000703334808,"","","",14.401619672775269
68.0,4.600379467010498,0.033399999141693115,10000.0,3.456652879714966,10.245940685272217,0.1420000046491623,"","","",14.708635330200195
69.0,4.448324203491211,0.03550000116229057,10000.0,3.4668614864349365,10.212412357330322,0.14300000667572021,"","","",16.349374294281006
70.0,4.5732622146606445,0.02290000021457672,10000.0,3.5880463123321533,10.304982900619507,0.12399999797344208,"","","",15.635184049606323
71.0,4.567684173583984,0.03240000084042549,10000.0,3.5348291397094727,10.246931314468384,0.13850000500679016,"","","",13.877435445785522
72.0,4.622208595275879,0.022099999710917473,10000.0,3.636648416519165,10.293421030044556,0.12999999523162842,"","","",14.432551860809326
73.0,4.966338157653809,0.021400000900030136,10000.0,3.4541680812835693,10.176291942596436,0.17249999940395355,"","","",14.710043907165527
74.0,4.623456954956055,0.024399999529123306,10000.0,3.6172683238983154,10.53878378868103,0.148499995470047,"","","",14.293032169342041
75.0,4.533097743988037,0.035599999129772186,10000.0,3.3822765350341797,10.433280944824219,0.14900000393390656,"","","",14.016026973724365
76.0,4.287116050720215,0.04580000042915344,10000.0,3.398719072341919,10.682003736495972,0.15850000083446503,"","","",14.445269584655762
77.0,4.449086666107178,0.03680000081658363,10000.0,3.366345167160034,10.132434368133545,0.1589999943971634,"","","",14.869621515274048
78.0,4.363471984863281,0.03739999979734421,10000.0,3.401224374771118,10.509371519088745,0.1509999930858612,"","","",14.863442659378052
79.0,4.374046802520752,0.03180000185966492,10000.0,3.3736467361450195,10.313280820846558,0.15950000286102295,"","","",15.483154296875
80.0,4.641496658325195,0.030300000682473183,10000.0,3.392956495285034,10.229114294052124,0.14499999582767487,"","","",14.11424469947815
81.0,4.66712760925293,0.031099999323487282,10000.0,3.537330389022827,10.304694414138794,0.13850000500679016,"","","",15.450528383255005
82.0,4.5177202224731445,0.031700000166893005,10000.0,3.4087350368499756,10.569361448287964,0.17550000548362732,"","","",14.076064348220825
83.0,4.258712291717529,0.03959999978542328,10000.0,3.3547191619873047,10.052164077758789,0.16850000619888306,"","","",15.435208082199097
84.0,4.266726970672607,0.05009999871253967,10000.0,3.312577962875366,10.439046382904053,0.16500000655651093,"","","",14.571792364120483
85.0,4.828361511230469,0.02410000003874302,10000.0,3.3409383296966553,10.230099439620972,0.14350000023841858,"","","",16.23784875869751
86.0,4.35840368270874,0.04170000180602074,10000.0,3.4462592601776123,10.142863512039185,0.1509999930858612,"","","",14.926159381866455
87.0,4.163447380065918,0.04569999873638153,10000.0,3.353632926940918,10.257077932357788,0.16599999368190765,"","","",14.83080506324768
88.0,4.210821628570557,0.05689999833703041,10000.0,3.3404579162597656,10.90388822555542,0.16099999845027924,"","","",14.695225238800049
89.0,4.276084899902344,0.04280000180006027,10000.0,3.2823171615600586,10.251512289047241,0.1860000044107437,"","","",15.864187717437744
90.0,4.30678653717041,0.05139999836683273,10000.0,3.322077751159668,10.109111070632935,0.15150000154972076,"","","",14.265352249145508
91.0,4.436487674713135,0.03920000046491623,10000.0,3.536587715148926,10.749489307403564,0.1315000057220459,"","","",14.73410439491272
92.0,4.446328163146973,0.0414000004529953,10000.0,3.429486036300659,10.219297885894775,0.14550000429153442,"","","",14.089286088943481
93.0,4.655384540557861,0.0406000018119812,10000.0,3.459118366241455,10.394581317901611,0.14300000667572021,"","","",15.990169525146484
94.0,4.664884090423584,0.027499999850988388,10000.0,3.487111806869507,10.371607542037964,0.1525000035762787,"","","",14.308167219161987
95.0,4.326557159423828,0.03880000114440918,10000.0,3.4881036281585693,10.324214935302734,0.1445000022649765,"","","",13.894024133682251
96.0,4.361879348754883,0.03629999980330467,10000.0,3.440498113632202,10.180493354797363,0.14249999821186066,"","","",15.481466054916382
97.0,4.553404331207275,0.03460000082850456,10000.0,3.3772199153900146,10.266330242156982,0.15049999952316284,"","","",14.201425552368164
98.0,4.320477485656738,0.043299999088048935,10000.0,3.3013856410980225,10.175793647766113,0.18549999594688416,"","","",15.055499792098999
99.0,4.235067367553711,0.05779999867081642,10000.0,3.3051440715789795,10.20853877067566,0.17149999737739563,"","","",15.588094472885132
100.0,4.7316436767578125,0.030400000512599945,10000.0,3.369682788848877,10.269086360931396,0.16050000488758087,"","","",14.98699426651001
101.0,4.738736152648926,0.038100000470876694,10000.0,3.508673906326294,32.17949414253235,0.15700000524520874,"","","",545.7355463504791
102.0,4.619290828704834,0.023000000044703484,10000.0,3.3656699657440186,15.382394075393677,0.17550000548362732,"","","",34.44369888305664
103.0,4.5541157722473145,0.029899999499320984,10000.0,3.3119442462921143,13.834460496902466,0.16200000047683716,"","","",33.28778791427612
104.0,4.455234527587891,0.033399999141693115,10000.0,3.434020519256592,22.8152494430542,0.15800000727176666,"","","",29.155298471450806
105.0,4.466536521911621,0.038100000470876694,10000.0,3.4145803451538086,18.895467281341553,0.1535000056028366,"","","",31.03872323036194
106.0,4.5340352058410645,0.029899999499320984,10000.0,3.361652374267578,16.900622367858887,0.15049999952316284,"","","",32.77099919319153
107.0,4.399350166320801,0.047200001776218414,10000.0,3.5458290576934814,17.809059858322144,0.13750000298023224,"","","",33.534783124923706
108.0,4.7837114334106445,0.020099999383091927,10000.0,3.4954941272735596,17.470980644226074,0.14650000631809235,"","","",32.05561280250549
109.0,4.492119789123535,0.047600001096725464,10000.0,3.409600257873535,19.41000008583069,0.16699999570846558,"","","",30.880115270614624
110.0,4.630258560180664,0.02630000002682209,10000.0,3.372714042663574,17.62876319885254,0.16599999368190765,"","","",33.095863819122314
111.0,4.195359706878662,0.05040000006556511,10000.0,3.3770687580108643,18.96000051498413,0.15950000286102295,"","","",31.24194622039795
112.0,4.475187301635742,0.026000000536441803,10000.0,3.231506824493408,19.45030689239502,0.18700000643730164,"","","",31.577226161956787
113.0,4.568941593170166,0.04280000180006027,10000.0,3.4362010955810547,18.241851806640625,0.1469999998807907,"","","",31.501829624176025
114.0,4.762465000152588,0.017100000753998756,10000.0,3.339670419692993,17.108497619628906,0.1665000021457672,"","","",33.07771563529968
115.0,4.277120590209961,0.0471000000834465,10000.0,3.391855239868164,15.864948987960815,0.15850000083446503,"","","",34.865355014801025
116.0,4.3499956130981445,0.03959999978542328,10000.0,3.43589448928833,16.14445185661316,0.1550000011920929,"","","",33.367021322250366
117.0,4.385529041290283,0.04129999876022339,10000.0,3.2989726066589355,19.243428945541382,0.16099999845027924,"","","",31.868302822113037
118.0,4.722978591918945,0.023000000044703484,10000.0,3.316948890686035,15.786949396133423,0.17399999499320984,"","","",34.39597272872925
119.0,4.661921501159668,0.025100000202655792,10000.0,3.4078447818756104,19.24262833595276,0.16899999976158142,"","","",30.09498167037964
120.0,4.532601833343506,0.034299999475479126,10000.0,3.520608901977539,18.842037200927734,0.14000000059604645,"","","",31.275808334350586
121.0,4.675471782684326,0.02019999921321869,10000.0,3.446357011795044,15.114782571792603,0.15800000727176666,"","","",35.61410450935364
122.0,4.383084774017334,0.044599998742341995,10000.0,3.373295545578003,16.785890817642212,0.1615000069141388,"","","",33.1571364402771
123.0,4.35188627243042,0.039799999445676804,10000.0,3.3573994636535645,18.75373363494873,0.1679999977350235,"","","",32.05205273628235
124.0,4.389307975769043,0.04639999940991402,10000.0,3.4031002521514893,19.103670597076416,0.13600000739097595,"","","",31.257565021514893
125.0,4.291329860687256,0.06279999762773514,10000.0,3.268197774887085,17.14576029777527,0.19699999690055847,"","","",32.50341486930847
126.0,4.540684700012207,0.03280000016093254,10000.0,3.314133644104004,17.689249753952026,0.18400000035762787,"","","",33.01718735694885
127.0,4.349814414978027,0.05249999836087227,10000.0,3.3483500480651855,16.874229907989502,0.16699999570846558,"","","",33.31204795837402
128.0,4.358847618103027,0.04650000110268593,10000.0,3.299010753631592,15.457576036453247,0.1745000034570694,"","","",35.77169609069824
129.0,4.314466953277588,0.05490000173449516,10000.0,3.267834186553955,15.279080390930176,0.18150000274181366,"","","",35.398096323013306
130.0,4.420886516571045,0.03999999910593033,10000.0,3.24267840385437,17.207853317260742,0.17299999296665192,"","","",32.58699154853821
131.0,4.2724409103393555,0.05209999904036522,10000.0,3.2984976768493652,18.421344995498657,0.16949999332427979,"","","",30.854346990585327
132.0,4.230581760406494,0.05869999900460243,10000.0,3.3223838806152344,15.424952030181885,0.17900000512599945,"","","",36.9774444103241
133.0,4.313076019287109,0.053599998354911804,10000.0,3.245706558227539,15.745761156082153,0.1745000034570694,"","","",34.93257522583008
134.0,4.303064823150635,0.03869999945163727,10000.0,3.3731184005737305,15.997253656387329,0.15199999511241913,"","","",35.70846629142761
135.0,4.356916427612305,0.05609999969601631,10000.0,3.2504072189331055,15.43617844581604,0.17299999296665192,"","","",32.82380962371826
136.0,4.514355659484863,0.039799999445676804,10000.0,3.3196585178375244,18.603722095489502,0.16599999368190765,"","","",30.86283302307129
137.0,4.497369766235352,0.02969999983906746,10000.0,3.3945932388305664,20.437331914901733,0.1704999953508377,"","","",29.89088201522827
138.0,4.265800952911377,0.05009999871253967,10000.0,3.2781951427459717,18.623957872390747,0.1535000056028366,"","","",32.13987636566162
139.0,4.11262845993042,0.06270000338554382,10000.0,3.295724868774414,17.791887760162354,0.1770000010728836,"","","",31.71942710876465
140.0,4.306724548339844,0.04690000042319298,10000.0,3.163400650024414,19.15365195274353,0.19550000131130219,"","","",30.680124521255493
141.0,4.295904159545898,0.04390000179409981,10000.0,3.132370710372925,20.260978937149048,0.1745000034570694,"","","",30.541690826416016
142.0,4.490228652954102,0.036400001496076584,10000.0,3.273808002471924,16.88732600212097,0.17399999499320984,"","","",31.219148874282837
143.0,4.253046035766602,0.050700001418590546,10000.0,3.461040735244751,24.665639400482178,0.1469999998807907,"","","",27.930519819259644
144.0,4.300460338592529,0.05640000104904175,10000.0,3.391986131668091,20.37533712387085,0.1574999988079071,"","","",30.481595039367676
145.0,4.601516246795654,0.04610000178217888,10000.0,3.2125682830810547,18.44121289253235,0.18449999392032623,"","","",32.54970669746399
146.0,4.427899360656738,0.03799999877810478,10000.0,3.3128249645233154,19.475037574768066,0.16099999845027924,"","","",30.184048652648926
147.0,4.37556266784668,0.06260000169277191,10000.0,3.391839027404785,18.65966796875,0.1469999998807907,"","","",32.304091453552246
148.0,4.268331050872803,0.05869999900460243,10000.0,3.3147969245910645,18.874874114990234,0.18649999797344208,"","","",31.446380853652954
149.0,4.076940536499023,0.07580000162124634,10000.0,3.319664716720581,19.120925188064575,0.16050000488758087,"","","",31.132234811782837
150.0,4.331974029541016,0.05180000141263008,10000.0,3.2651567459106445,15.509410619735718,0.18549999594688416,"","","",36.50222039222717
