"loss","validation/validation_time_in_seconds","train_steps_per_hour","round_num","train_step_time_in_seconds","validation/sparse_categorical_accuracy","sparse_categorical_accuracy","validation/loss"
0.38860023021698,70.30564594268799,66.82069692320039,64,53.87552309036255,0.7901475429534912,0.8732728362083435,0.704331636428833
0.3428231477737427,71.30580234527588,65.2001096365759,65,55.21463108062744,0.7970264554023743,0.8948333859443665,0.6932594776153564
0.37667369842529297,80.96761107444763,69.1228573720231,66,52.08118033409119,0.7946001291275024,0.8842636942863464,0.7169440388679504
0.40772244334220886,92.4674551486969,53.81413388522395,67,66.8969235420227,0.7913090586662292,0.8798764944076538,0.7447629570960999
0.3135283887386322,115.32184600830078,41.545719816629216,68,86.65152549743652,0.7919801473617554,0.9019988775253296,0.7539489269256592
0.36255916953086853,117.74955606460571,30.69020816975006,69,117.30125713348389,0.7975685000419617,0.8848979473114014,0.7367340922355652
0.29422882199287415,128.01253628730774,31.441796225433812,70,114.49727535247803,0.804215133190155,0.9090641736984253,0.7036773562431335
0.38759368658065796,154.09486746788025,24.312124416423057,71,148.07426691055298,0.8075577616691589,0.8830862045288086,0.6805857419967651
0.3474051356315613,167.84347534179688,20.564975231885757,72,175.05491542816162,0.8070802688598633,0.8929359912872314,0.6738018989562988
0.3726801872253418,173.8160638809204,17.64401779895102,73,204.03516030311584,0.8031439185142517,0.8866597414016724,0.6857352256774902
0.35905084013938904,178.61121129989624,17.392882630742186,74,206.98121619224548,0.8033891320228577,0.8913192749023438,0.6756699681282043
0.2921046316623688,168.7906470298767,17.750700446402625,75,202.8088982105255,0.8054282665252686,0.9093089699745178,0.6664919853210449
0.3223823308944702,175.50094532966614,18.031517207409994,76,199.65042090415955,0.8047442436218262,0.8999464511871338,0.6643930673599243
0.30009394884109497,174.76388573646545,17.450164875660644,77,206.30177569389343,0.8031567931175232,0.9024069905281067,0.6687608361244202
0.3105558156967163,172.60669684410095,16.193925000174705,78,222.30558681488037,0.8018404245376587,0.9055637717247009,0.6820352673530579
0.33157074451446533,177.17734217643738,15.566821191097473,79,231.26108765602112,0.7998270392417908,0.8976072072982788,0.7044199705123901
0.38495558500289917,172.8095622062683,15.094072925980521,80,238.50421404838562,0.7962004542350769,0.8818488717079163,0.7412238121032715
0.2945094108581543,172.22795295715332,16.52321263833039,81,217.87530541419983,0.7924318909645081,0.912814199924469,0.777511715888977
0.3201031982898712,176.93878865242004,17.64149604059173,82,204.06432604789734,0.7924060821533203,0.9013215899467468,0.7766802310943604
0.3233063220977783,175.0386152267456,17.146351942704083,83,209.95719742774963,0.8031826615333557,0.8994041085243225,0.7141815423965454
0.4015902578830719,175.69821739196777,17.58991135831177,84,204.662770986557,0.810177743434906,0.8805093765258789,0.6659842133522034
0.3244694471359253,171.13868832588196,18.549730647909392,85,194.0728988647461,0.8122556209564209,0.8985540866851807,0.6517314910888672
0.3230975270271301,177.54166460037231,17.96517435234053,86,200.38770174980164,0.8106810450553894,0.9032873511314392,0.6551545858383179
0.31966325640678406,177.35899305343628,17.882549921934725,87,201.31357192993164,0.8056992888450623,0.8990576863288879,0.6710811853408813
0.3462461233139038,170.59850454330444,20.32998824623438,88,177.07831192016602,0.8007562756538391,0.8933373093605042,0.6834867000579834
0.27385860681533813,173.99401450157166,14.677911021586766,89,245.2665092945099,0.8069770336151123,0.9113330245018005,0.6527223587036133
0.27128279209136963,176.39513969421387,13.66147577894632,90,263.5147225856781,0.8087451457977295,0.911384642124176,0.6546993255615234
0.2947230041027069,172.1028871536255,18.31631938554789,91,196.5460376739502,0.7995947599411011,0.911188006401062,0.7358565330505371
0.25662961602211,176.112238407135,16.82934384540196,92,213.9120831489563,0.7936192750930786,0.9202505350112915,0.8114672899246216
0.2540360391139984,169.92636370658875,14.456550076561626,93,249.02206826210022,0.7857336401939392,0.9184994101524353,0.8995072841644287
0.29078274965286255,177.12259244918823,15.64347433477107,94,230.12790656089783,0.7817972898483276,0.9064735174179077,0.9362884163856506
0.2898619771003723,174.91560649871826,15.429060647478073,95,233.32593488693237,0.7850109338760376,0.9074476957321167,0.9048882126808167
0.32191258668899536,174.91746950149536,14.993587449938348,96,240.10264468193054,0.7926641702651978,0.903886616230011,0.8306065201759338
0.334800660610199,181.7083923816681,16.750460303640768,97,214.91946697235107,0.8042021989822388,0.8949759602546692,0.7336419820785522
0.3239744007587433,175.10431432724,17.690113459904037,98,203.50349974632263,0.8146303296089172,0.901414155960083,0.6531088948249817
0.34419748187065125,179.26262211799622,16.077044749172472,99,223.92175030708313,0.8171856999397278,0.8885192275047302,0.6231639385223389
0.28301241993904114,175.23044610023499,19.604473539588355,100,183.63155698776245,0.8139849901199341,0.9085178971290588,0.6199541687965393
0.3329647481441498,176.06369829177856,18.101332798289572,101,198.88038301467896,0.8099712133407593,0.8932933211326599,0.6265045404434204
0.3396970331668854,172.05455088615417,17.206150300281422,102,209.22751092910767,0.805763840675354,0.8962883353233337,0.6386784315109253
0.31466802954673767,183.6458306312561,16.525162217573033,103,217.8496012687683,0.8084225058555603,0.8987244963645935,0.6402507424354553
0.32982325553894043,180.49042201042175,19.220503096864693,104,187.29998803138733,0.8115974068641663,0.8970790505409241,0.6364856958389282
0.3624461591243744,170.3067183494568,19.96474747487996,105,180.31783294677734,0.8122943043708801,0.8901811838150024,0.631269633769989
0.3162572681903839,177.71618342399597,16.106879048716948,106,223.506986618042,0.8146303296089172,0.8988747596740723,0.6259127259254456
0.33865582942962646,172.6570372581482,22.280813969882974,107,161.5739893913269,0.8129912614822388,0.898590624332428,0.6283587217330933
0.35649552941322327,170.90083646774292,14.94928836059283,108,240.81413865089417,0.8140753507614136,0.8893405199050903,0.6265798807144165
0.30589988827705383,179.40121698379517,14.709212410669238,109,244.74457907676697,0.8163855075836182,0.9039046168327332,0.6297917366027832
0.3216470777988434,180.7596788406372,17.7638997520113,110,202.65820288658142,0.8135203719139099,0.9004864692687988,0.6447734236717224
0.2655922770500183,170.40853929519653,17.431288354209478,111,206.5251820087433,0.8106552362442017,0.9169167280197144,0.6649614572525024
0.355424165725708,175.47296237945557,16.600902335429925,112,216.8556821346283,0.8069382905960083,0.8842788338661194,0.6879208087921143
0.30302858352661133,176.53166151046753,16.38980877871286,113,219.64868831634521,0.8049765825271606,0.9056567549705505,0.7021277546882629
